start	end	text
0	11000	はい、おはようございます、みっぽです。ちょっとね、
11000	21000	じゃあちょっと、俺もさ、話したいことがあって30分だけ枠を取りました。
21000	29000	なんかもう、精神的にね、限界なんだよね、ほんと、今。
30000	43000	なんかさ、ずっと、ずっとうちにいてさ、おはよう。
43000	54000	収録支援を受けてさ、休みの日だって別に、誰かと遊びに行くでもなくさ。
54000	59000	はぁ。
59000	62000	おはよう。
62000	74000	いや、もうもうもうね、ほんとにね、ニコ生がしたい。
74000	86000	結局さ、なんでできないんだろう。
86000	92000	さっき、9時にコンサートを飲んで。
92000	99000	結局、何も俺さ、こんな怖がってんだろう。
99000	105000	なんでこんな怖がってんだろう。41歳にもなって。
105000	115000	そう思ったらさ、ニコ生やろうかな。
115000	121000	41歳にもなって、なんでこんなビクビクしてんだろう。
121000	125000	そう思ったらね、なんかバカバカしくなってきた。
125000	130000	俺の人生何のためにあるんだろうって。
130000	144000	楽しいこと全部さ、捨ててさ。
144000	153000	楽しいことさ、人とのさ、コラボ配信とかもさ、
153000	157000	できなくてさ。
157000	174000	なんでさ、外行きたいもん俺。
174000	183000	なんでこんな我慢しなきゃいけないんだろう。
183000	197000	なんでこんなさ、我慢してんだろう。
197000	203000	働いてないって、そんな罪なことなんですか。
203000	214000	就職活動してるのに。
214000	218000	なんか、コーコンやるよと。
218000	224000	ニコ生やるかな、もう。
224000	230000	ニコ生やるかな。
230000	238000	もうさ、親どう思うが、いたつらされようが、
238000	244000	嫌がらせこようが、もうさ、ニコ生やろうかな。
244000	251000	ニコ生やっても、もし、
251000	259000	また同じようなことが来たら、また警察行くよ。
259000	266000	普通に警察行く。
266000	269000	当たり前のことじゃん、そんな。
269000	274000	警察行かなかったらさ、こいつには何をやっても、
274000	288000	警察行かないんだから、犯罪だろうが何だろうがやってやれって思うやつがいるじゃん。
288000	293000	昨日、昨日、親からもらったやつ。
293000	297000	安全な暮らし。
297000	304000	サイバーセキュリティの基本。
304000	310000	その言葉は煽りだから、その言い方やめた方がいい。
310000	319000	ああ。
319000	323000	安全に暮らしてほしい。
323000	326000	薬、さっき飲んだばっかだから。
326000	328000	クイチに飲んだから。
328000	332000	まだ聞いてこないと思う。
332000	343000	でも、配信我慢できなかったんだねってさ、追加スタンを追加したと、
343000	351000	何、犯罪やいじめは行けないけどこの場合される任法には問題あるよ。
351000	353000	何言ってんの?
353000	357000	バカなんじゃないの?
357000	372000	いじめられる方が悪いとか、犯罪受ける方が悪いとか、
372000	378000	被害者に責任を押し付けるやつってさ、本当頭悪いね。
378000	382000	本当頭悪いと思う。
382000	385000	被害者が悪いに決まってんじゃん。
385000	387000	どう考えても。
387000	391000	こいつは大人しいから、いじめた、いじめた。
391000	393000	こいつが大人しいのが悪い。
393000	402000	そういうことでしょ。
402000	407000	被害者が悪いに決まってんじゃん。
407000	417000	じゃあさ、コンクリート事件で逆殺された女子高生が悪かったの?
417000	424000	コンクリート爪殺人事件で女子高生が殺されたじゃん。
424000	427000	殴り殺しにされて。
427000	431000	それってさ、その被害者が悪いっていうこと。
431000	437000	何の落ちともないよね。
437000	443000	そういうね、被害者を、被害者にも責任があったとかさ、
443000	446000	言うやつってね、本当に嫌いだよ。
446000	448000	頭悪すぎだと思う。
448000	474000	だから、
474000	482000	じゃあさ、何だっけ?
482000	484000	何だっけ?
484000	486000	イラクだっけ?
486000	492000	イラクだか、どっかに取材に行った人が、
492000	495000	何かイスラム国か何かに捕まって、
495000	498000	くべきられて殺された事件あったじゃん。
498000	501000	ジャーナリストが。
501000	520000	それってさ、ジャーナリストが悪いって言うの。
520000	530000	なんかイライラしてきた。
530000	533000	特告禁止だろうが、ジャーナリストは、
533000	538000	その被災なイスラム国の現状を、
538000	541000	被災な現状をみんなに知ってもらおうと、
541000	550000	使命感を持って、わざわざ危険なところに行ったんだよ。
550000	556000	諸賢さんいらっしゃい。
556000	558000	もうやだ。
558000	560000	ニコ生がやりたい。
560000	563000	ニコ生やりたい。
563000	565000	ニコ生やろうかな。
565000	569000	なんかツッツイキャス嫌だよ俺。
569000	575000	ツッツイキャス嫌だ。
575000	578000	ツッツイキャス嫌だもん。
578000	581000	ニコ生がいい。
581000	591000	ツッツイキャス嫌だ。
591000	595000	俺がさ、放送やることでさ、
595000	600000	確かに親はさ、苦しむと思うよ。
600000	606000	でも俺がニコ生やんない方が、
606000	609000	俺が苦しむ。
609000	612000	俺が苦しんでる姿を見るのは、
612000	618000	親だって辛いでしょ。
618000	622000	俺が苦しんでる方が、
622000	629000	親は辛いでしょ。
629000	633000	目がね、かっこいい。ありがとう。
633000	642000	もう絶縁したから辛くないんだ。
642000	646000	ニコ生やろうかな。
646000	652000	親の命っていうかさ、別にさ、
652000	660000	別にさ、確かにうちの親に殺害予告されたよ。
660000	663000	さすがに予告されたよ確かに。
663000	671000	でもそれはちゃんと警察言ったし、やることはやったよ。
671000	682000	やること、やることはやったよ。
682000	688000	それにさ、本当にさ、殺しに来る勇気が寝ついる。
688000	692000	タカがさ、俺は何もしてない。
692000	695000	ただこうやって放送で喋ってるだけだよ。
695000	700000	それで殺しに来るやつなんて現実的にいる。
700000	704000	過去にさ、そういう事、そういう事件あった。
704000	710000	ニコ生で、ニコ生に限らず配信者が
710000	717000	こうやって言っただけで誰か殺しに来るとか。
718000	723000	そう、そんな事件ある?
723000	728000	ないでしょ。
728000	732000	よっさん何度も来られてる。
732000	740000	このメガネはおもてサンドヒルズのメガネ屋で買った。
740000	748000	頭おかしい人は屋の中にいるだろうけど。
748000	755000	それはさ、個人を7死で中傷したりしたからでしょ。
755000	767000	個人を7死、なざしで中傷したりしたから怒らせて何か突が来たんでしょ。
767000	773000	堂々とニコ生やるか。
773000	776000	堂々とニコ生やるかも。
776000	786000	だって俺も限界だもん精神が。
786000	790000	ちょっと荒れた家庭なんですか?
790000	794000	荒れたというか何だろう?
794000	803000	あ、荒れてるのかな?
803000	812000	荒れてるのかな?
825000	834000	福岡の相手ブログは記事で知らないドクシャルラムよかった。
834000	838000	そういう事件もあったね。
838000	847000	あとさ、何だっけ?
847000	853000	漫画家だか何だかが殺された事件もあったよね。
853000	857000	ドクシャルラムに。
857000	860000	何だっけ?
860000	865000	岡田斗司夫と仲が良かった。
865000	875000	分別家みたいな人が殺されたよね。
875000	890000	名前忘れたけど。
890000	904000	確かに頭のおかしい奴も俺のリスナーにいるかもしれないよね。
904000	922000	俺が事件に巻き込まれたはどうすんの?
922000	928000	だ、大丈夫じゃない?
928000	935000	大丈夫だと思うよ。
935000	943000	親が暴力費が避けたら、犯人のせいでしょ。暴力を振るった。
943000	949000	そいつは捕まるよ、たぶん。
950000	958000	でもそこまでするやついないでしょ、たぶん。
958000	961000	警察にも止められてるけど。
961000	966000	だからこうやってこそこそ、ツジキャスやってるんだよ。
966000	977000	本当に2個名前やりたいけど。
