start	end	text
0	5000	お金がない、最近。お金が最近ない。
9000	11000	男は黙って自然乾燥。
12000	15000	なんかね、ちょっと元気がないのが続いてる。
16000	19000	だから、ちょっと元気をつけたい。
20000	21000	ちょっとテンション上げていくわ。
22000	25000	だって憂鬱にしてたってしょうがないじゃん。
30000	32000	かわいい?
33000	35000	でもまだ額関節腸治ってないんだよね。
36000	38000	380万かけたけど。
39000	41000	ちょっと法令宣が。
61000	63000	ニンくん。
64000	68000	法令宣って出てる。歯を出さないで微笑む。
74000	76000	こんな感じ。
82000	84000	部屋明るい。というかね、
85000	91000	カーテン開けて正面に窓があるから入ってくるのに光が。
92000	94000	それにあと電気もあるから。
96000	98000	ご飯食べてない。
99000	102000	結局朝ごはんもお昼ごはんも食べてない。
105000	107000	朝ごはんもお昼ごはんも食べてない。
108000	112000	だからなんか食べたいけど、買いに行くのがめんどくさい。
115000	119000	買いに行くのがくそめんどくさい。ごはん。
124000	128000	なんか母ちゃんからラインがいっぱい来るな。
135000	138000	母ちゃんから鬼のようにラインが来る。
139000	142000	なんか俺がヘラったこと言っちゃうからさ。
142000	144000	そういうこと言っちゃうからさ。
145000	148000	親にさ、ヘラったこと言っちゃったから。
151000	154000	何回生きててもつまんないとかさ。
155000	157000	そういうこと親に言っちゃうんだよね、俺。
158000	160000	そしたら親が心配でラインかけてくる。
172000	174000	あ、疲れた。
202000	206000	なんか嫌な人が多い。嫌な人が多い。
207000	210000	いろんな人がさ、なんで嫌な人ばっかなんだろうね。
211000	214000	なんかそういう人ばっかり目についちゃう、僕の場合。
215000	219000	やっぱ普通に働いてさ、外で仕事してたらさ、
220000	222000	なかなか人が多いんだけど、
223000	225000	人が多いんだけど、
226000	228000	人が多いんだけど、
228000	231000	やっぱ普通に働いてさ、外で仕事してたらさ、
232000	234000	なかなか嫌な奴ってめぐり合わないじゃん。
235000	238000	だって社会生活において嫌なこと言う奴って、
239000	241000	それだけで目殺されるから。
242000	244000	でもネットには嫌なこと言っても、
245000	247000	何のダメージも受けない、匿名だからって言って、
248000	250000	匿名ではないけど、
251000	257000	全部配信者特定、配信者情報発信請求とかすればいいけど、
258000	260000	でもそこまでする人もなかなかいないし、
261000	264000	結局匿名で人は傷つけるようなことを言う人がいっぱいいて、
265000	268000	でもそれってさ、人間の中にもともとあるものなんだよね。
269000	271000	それが出てるか出てないかの話で、
272000	273000	外で働いてる人はそういうところを出さないし、
274000	276000	でもうちへネットでカタカタやってる人はそういうことをするんだよ。
277000	280000	だから嫌な奴ばっかりに燃えてしまう。
280000	282000	だから嫌な奴ばっかりになってしまう。
310000	314000	ミン君は素敵な男性だよ。ありがとう。
315000	319000	僕ね、優しい世界ならどこでもいいわ。
320000	323000	今さ、この世が辛いじゃん。
324000	327000	はっきりと僕地獄みたいな毎日送ってるもん、今。
327000	331000	はっきり言って、毎日地獄みたいな生活送ってると思ってて、
332000	334000	毎日が辛いし、
335000	338000	生きてて全然楽しくないし、
339000	341000	いつも生きてるし。
342000	344000	いつも生きてるし。
345000	347000	生きてるし。
348000	350000	全然楽しくないし。
351000	353000	生きてるし。
353000	377000	でもさ、僕みたいな弱者男性がネットで有名になって幸せになれる例があるよ、イノシシさんがそうだったよね、イノシシが。
