start	end	text
0	25000	やあ、みんな、元気かい?僕は元気じゃない。ハッピーハロウィン。
25000	40000	ハッピーハロウィン。みんな渋谷に行って楽しいのかな?僕はこの団地の部屋で、日向臭い部屋で一人佇んでいます。
40000	50000	うつ状態です。ご飯も食べられません。ご飯一食しか食べられません。
50000	71000	じゃあ、そういうことで、うつがひどい。うつ治ってない。うつ治らない。何やっても治らない。
71000	87000	みうちさん、結婚したって情報本当なの?よかったね。おめでとう。僕は結婚する相手なんかいないよ。
87000	98000	うつ病だから。発達障害だから。生きてるんだか死んだか分かんないような人生で。
98000	113000	Xでみうち発表しとる。幸せになれるならそれでいいよね。俺は全然幸せじゃないよ。ただ毎日苦痛にまみれて生きてるだけだよ。
113000	123000	ただ毎日苦痛にまみれて生きてる。今日も生きてしまった。明日も生きてしまった。明後日も生きてしまった。
123000	135000	ずーっと生きてしまったになるんだよ。悲しいよね。結局生きちゃうんだよ。結局これ生きちゃうんだよ。
136000	143000	2センチマンとか言うなよ。気持ち悪いの。
146000	161000	うつだ。うつだ。うーつだ。連胆がいい。何の話ですか?
166000	173000	なんでみんな毎日楽しく生きてられるんだろう。僕だけこんなにつらいのに。
173000	197000	僕だけこんなにつらいのに。なんでみんなは生きていられるんだ。僕だけこんなにつらいのに。僕だけだよ。つらいのは。
198000	217000	今この瞬間ハロウィンで浮かれてる皆さん、今ハロウィンで浮かれてる皆さん、そこに本物のジョーカーが現れたらどうする?
218000	233000	本物のジョーカーが、ハロウィンで気が大きくなって頭がパーになった奴らが、ジョーカーに遭遇したらどう思う?
234000	247000	ジョーカーは美しさを求める。美しくないハロウィンで暴れる若者たちなんてジョーカーにしてみればいい標的だよ。
248000	255000	俺はジョーカーにはならないけどね。俺はジョーカーにはならんけどね。
264000	271000	でも、あれを見ててイラつくのは僕だけでしょうか。
272000	279000	外国人とかが浮かれて渋谷のスクランブル交差点を行ったり来たりして、
280000	291000	あいつら、なんかゲトをすぐるが、あのさ、あの、五条悟が言うじゃん。
292000	302000	あの、女の子、死んだ女の子の死体を、なんとか今日から取り戻して、それで、
307000	314000	パチパチパチって拍手をする、そのなんとか今日の奴らに、こいつら殺すかって言って、
314000	325000	それでゲトは、いや、そんなものに意味はないって言うけど、あれが、ゲトが闇落ちした瞬間だったんで、
326000	334000	それでシャワーを浴びながらゲトが、あの、死んじゃった者の嬉しそうな顔でパチパチパチってやってるのを思い出して、
335000	339000	サルガって言うんだよ。サルガって。
339000	341000	俺は、
344000	355000	俺は、サル。サルが嫌い。世の中の、世の中のサルが嫌い。
362000	364000	サルどもが。
369000	377000	俺が、何を憎むかわかるか。醜さを憎む。醜さを憎む。
378000	387000	世の中のあらゆる醜さ、あさましさ、いじましさ、寂しさ、そういう奴らを憎む。
387000	391000	俺は美しいものを愛する。
392000	394000	俺は、
395000	397000	俺は、
398000	400000	俺は、
401000	403000	俺は、
404000	406000	俺は、
407000	409000	俺は、
410000	412000	俺は、
412000	415000	俺は美しいものを愛する。
416000	419000	美しいものを愛する。
420000	423000	なんか疲れちゃった。
424000	431000	またのマップでお前だけはぶられたの?知らんわwなもん。
432000	437000	なもん知らんわwのマップなんぞ。
442000	455000	別にヌームアップとかどうでもいいよ 俺は別にヌームアップのメンバーでも何でもないんだから
455000	462000	俺は所詮代理のメンバーなんで 老箱さんがいない間の代理のメンバーなんで
462000	464000	わかる?
464000	469000	老箱さんの代理のメンバーなんで
473000	476000	分かれそれくらい
476000	478000	俺は省いてるよ
478000	481000	ポンちゃんテレビ東京です
481000	484000	いいよそんなの
484000	493000	こうやってハロウィンを煽るのはテレビ局は来ないでくださいって渋谷警察署が言われてるのに来てんだね相変わらず
493000	498000	もう何もさ自分さえ得せればいいやつとか言うやつばっかりじゃん
498000	501000	なんか世の中そういうサラどもばっかりじゃん
501000	505000	だから俺は言うよサルメって
505000	507000	だから俺はサルメって言うんだよ
507000	510000	分かったかサルメ
510000	514000	サルどもが落ちろ
514000	517000	落ちろサルどもが
520000	525000	サルどもが消えろ落ちろ
525000	529000	犬巻くんが落ちろって言うんだよ
529000	534000	死ねって言ったらさすがに自分が死んじゃうから言えないけど
534000	540000	落ちろって言うんだよ犬巻くんが犬巻東京くんが
546000	549000	落ちろ
549000	552000	落ちろ
553000	558000	落ちろ全員全員落ちろ今すぐ落ちろ
558000	561000	今すぐ全員落ちろ
561000	565000	犬巻東京くんが言うんだよ落ちろって
