start	end	text
0	6620	えー、皆様、水飲まして、えー、皆様、昨日はご心配をお掛けして、申し訳ございませんでした。
6620	10720	昨日は、頃が悲鳴を上げて、まあなんかチンプな表現で言うと、
10720	14280	頃が悲鳴を上げてた、頃が悲鳴を上げてた、チンプな表現で言うと、
14280	16800	傷、見えるかな?ど、どっち側だ?かな?
16800	21080	駄菓症がで、えー、これも、これも、全部、僕が、みんなごめん、怒ってる?
21080	26280	バカ野郎、たぶん殴らんの、あの、親父にも殴られたことないのに、みたいな感じの、あの、フレッドショップ、
27040	30840	なん、なんとか、親父にも殴られたことないのに、アムロで、みたいなね、
30840	36200	僕がさ、ブライト、ブライトね、ブライト、ブライト、僕が、昨日、どうもか、あの、ニコニコでは、言ってなかった、
36200	38200	ツイッターの、あの、
38200	42200	ツイッターの、あの、話せるやつあるじゃん、なんて言うの、あれ、あれでやって、
42200	44200	昨日は、ガチでそう言うんだったので、
44200	46200	昨日は、ガチでそう言うから、みんなのコメントに続いて、
46200	48200	ああいうことになってしまう。
48200	50200	みんなが、僕を殺したと思う。
50200	52200	昨日は、僕、自分自身、落ち度があったと言えば、
52200	54200	まあ、バカ野郎かな、と思って、バカ野郎で、あの頃、
54200	56200	あの頃が、僕の、唯一の責任かな、と思う。
56200	58200	ね、煽らないで、俺も煽らないから、
58200	60200	それで、警察まで、
60200	62200	いい迷惑だよね、毎回毎回、
63200	64200	警察のいい迷惑だよ、
64200	66200	悪いのはいけないから、
66200	68200	みんなさ、俺のこと嫌いだよね、
68200	70200	俺さ、配信続けるかどうか悩んでる、今。
70200	72200	ちょっと、ほのめかしてるんじゃない?
72200	74200	昨日は、ガチで死ぬとこだったからな、
74200	76200	昨日は、ガチで死ぬところだったんだよ、これ、分かる?
76200	78200	昨日は、ガチで死ぬところだったんだよ、
78200	80200	この心がボロボロ、今でもボロボロだよ。
80200	82200	今でも、配信して、こういうコメントばっかり、
82200	84200	来ると、ボロボロになるんだよ。
84200	86200	俺、何やってもつまんない、今。
86200	87200	何やってもつまらん。
88200	90200	俺、ふわっとやっていけないね、
90200	92200	だって、大声出しただけで、バンになるんだから、
92200	94200	ニコニコだったら、大声出しても、バンにならないでしょ。
94200	96200	ガチだと、大声出して、トガとか言うと、
96200	98200	バンになるんだよな、
99200	101200	次は、もう、帝国入りなくしたよね。
101200	103200	みんなさ、昨日さ、僕のスペース、
103200	105200	聞いてどう思った?俺、あの、本気だったんだよ。
105200	107200	みんな、あれ、ネタとか言うでしょ?
107200	109200	実際、俺、本気で、なったんだよ。
109200	111200	次にも、作家賞ができるし、でも、
111200	113200	なるべくなら、死なないようにしたい。
113200	115200	僕も、さ、まだ早いじゃん。まだ、
115200	117200	諦めるには早い。まだ、諦めるには早いじゃん。
117200	119200	43歳、ザカリ。でも、手遅れ。
