start	end	text
0	2440	おしゃれマイクにメガネ描くなんて
2440	4520	配信するときはおしゃれメガネ描く
4520	5600	もたえないからね
5600	8200	あのさ、そのマイクが壊れた
8200	11880	これもう認識しなくなったパソコンが
11880	15840	これあのUSBケーブとか抜いたりしたりとかしても
15840	17240	使えなくなったんだけど
17240	18520	マイクが壊れた
18520	20440	お前らが俺を怒らせて
20440	22520	俺がマイクをどんどん叩いたり
22520	24360	ゆっくり叩けたりしたから
24360	25800	マイクが壊れたんだよ
25800	27800	この7年買ったマイクが
27800	28800	どうしてくれんだよ
28800	29920	お前らのせいだぞ
29920	32200	てめえらのせいでマイクが壊れたんだよ
32200	32720	馬鹿が
32720	34840	てめえらのせいでマイクが壊れたんだよ
34840	36560	だからまあこじらないよ
36560	39640	ただマイク代16000円あったら
39640	41320	いいなーって思っただけ
41320	43640	あのロジクールのマイクなんだけど
43640	44760	どんなマイクだったかな
44760	45760	ロジクールのマイク
45760	47400	えーとロジクール
47400	49040	フォークリエイターズ
49040	51240	ロジクールGブルーイエティ
51240	52680	あ18000円もする
52680	55080	なんかさっき16000円だった気がするんだけど
55080	56760	18000円もする
56760	58640	18000円もしてる
58640	59600	これどうする
59600	61080	18000円もして
61080	61880	これ買うか?
61880	62960	配信者だから
62960	64560	今僕の声どう?
64560	66480	今ウェブカメラのマイクで
66480	67960	音拾ってるんだけどどう?
67960	69000	髪切ってがはい
69000	70240	綺麗綺麗髪でが
70240	72080	昼見れなかった人に見せてます
72080	74000	じゃあ周囲ぐるって見せるね
74000	74320	どう?
74320	75000	いかしてる
75000	76200	なんかこれ実質
76200	79320	18669円もするの
79320	81840	これ買えないわお金ないから
81840	83520	マイクってこんな高いの?
83520	85200	マイクってこんな高いの?
85200	88520	貯金があと40万あるかないか
88560	90720	貯金が40万あるかないかで
90720	96200	218600円のマイク買わずらいわ
96200	97120	水がうまい
97120	99280	40万しかないんだよ金が
99280	99880	40万
99880	100720	キュコヘ Pretender
100720	101480	キュコヘ
101480	102120	キュコヘ
102120	103080	収入として
103080	105440	そこで相当バランスがとれてるから
105440	106440	ウェウェウェ
106440	107320	キュコヘ
107320	107640	やる
107640	108800	ウェウェ
108800	109960	キュコヘ
109960	111000	ウェウェ
111000	111720	キュコヘ
111720	112320	Miku
112320	114160	水が流す気持ち悪い
114160	116360	キュコヘ
116360	117680	病かもしんない
117680	120400	毎日こんなんじゃ病気になっちゃうよ本当に
120400	122000	俺病気になっちゃうよ
122000	124240	俺病気になっちゃうよこのまんまじゃ
124240	126400	配信や自分やんちこめしかこないし
126400	127320	米しかこないし
127320	128320	病気になっちゃうよ
128320	129560	なんか元気が出ない
129560	130400	みんな俺
130400	131800	みんなが知恵を出し合って
131800	134080	僕が元気に出るようにください
134080	135600	みんなが知恵を出し合って
135600	137720	僕は元気に触れるように
137720	138120	ください
138120	139600	みんなで知恵を出し合って
139600	141280	またハロウィンなのに
141280	142480	部屋にも行けなかったんだよ
142480	143360	ウッドがひどくて
143360	144240	ウッドがひどくて
144240	145960	これ持ってたな俺
145960	146680	ちょっと待って
146680	147200	ちょっと待って今
147240	148480	今からこれ着替える
148480	150040	せっかくのハロウィンだし
150040	151120	これ着替えるわ
151120	152280	これどうやって着るんだこれ
152280	152960	これで
152960	154000	これを通して
154000	155080	通すでしょ
155080	155560	待って
155560	156560	これ誰かに
156560	158320	パスの上げてもらわないとダメっぽい
158320	159760	パスの上げてもらわないと
159760	160560	まあいいかこれで
160560	161680	入らなくなったな
161680	163480	中のTシャツ抜いたほうがいい
163480	164520	そしたらワンチャンいける
164520	165160	これで
165160	167760	後ろのチャコ上げられるかどうか
167760	169520	ダメだ俺が剃りすぎてて
169520	170200	あいけるか
170200	171520	このピンセット邪魔だな
171520	172160	これは取ろう
172160	172920	ピンセットが
172920	173600	なんだよな
173600	176200	これこれ全部入るかもしんない
176240	177040	あはダメか
177040	177840	届かない
177840	178640	届かないか
178640	179680	ギリ届かない
179680	180760	でもいい感じになった
180760	181920	みんなのアイドル
181920	183120	ニンキュンだキュン
183120	184520	みんなのアイドルだキュン
184520	185400	みんなのアイドル
185400	186440	ニンキュンだキュン
186440	187440	ご主人様
187440	188760	帰りなさいませ
188760	189720	ご主人様
189720	190920	今日もお仕事
190920	191960	お疲れ様
191960	192600	キュンキュン
192600	193920	ご飯にします
193920	195240	お風呂にします
195240	196240	どれとも
196240	197400	あたし
197400	198160	かわいい
198160	200400	ありがとう
200400	201000	かわいい
201000	202120	ありがとう
202120	203520	みんなのニンキュンの
203520	204640	メイドさんです
204640	206520	エッチなことはしないでね
206520	208360	みんなのニンキュンだから
208360	209120	他人の人に
209120	210440	エッチなことされたら
210440	211760	みんな悲しむから
211760	214080	ぷいぷいぷいぷいぷいい
214080	216320	いくらニンキュンかわいいからって
216320	217960	エッチな目でみないでね
217960	219400	だーめーよ
224200	226520	今から襲いに来たりしないで
226520	227480	やだやだやだ
227480	229040	そんなのニンキュンやだ
232880	233440	どう?
234640	238640	みんなにんきゅんはエロい目で見ないでよ!
238640	240640	にんきゅんはみんなのものなの!
240640	242640	にんきゅんはみんなのものなの!
242640	244640	だからエロい目で見ないで!
244640	246640	にんきゅんはハロウィンのお城に住む
246640	248640	お姫様、メイドさん
248640	250640	お姫様でありメイドさん
250640	252640	にんにんきゅんきゅん
252640	254640	はい、さあおいそい
254640	256640	みんなのにんきゅんだよ!
256640	258640	だからひとじむりひとりじむりしようとする人は
258640	259640	めっ!
259640	260640	どうもこのお洋服
260640	262640	今日はご主人様のために
262640	263640	がんばって
263640	265640	ゴシックロニータを着ちゃいました!
265640	267640	キュン!キュンキュン!
267640	268640	これで
268640	269640	私の
269640	271640	私のパンチを見たいとか思っちゃった人
271640	272640	めっ!
272640	273640	だよ!
273640	275640	私のパンチを見たいと思ってる人
275640	276640	めっ!めっ!
276640	277640	私
277640	279640	私をパンチなんか見せないわよ
279640	281640	そんな安い女じゃないからね
281640	283640	パンチ見せないよ
283640	285640	そんな不死なる女じゃないから
285640	286640	にんきゅんは
286640	287640	君だけの
287640	289640	奴隷だよ
289640	290640	にんきゅんは
290640	291640	みんなの
291640	292640	奴隷です
292640	293640	でも
293640	295640	あなたひとり愛してくれるなら
295640	297640	着ちゃったてもいいかも!
297640	298640	にんきゅんは
298640	299640	LGBTだから
299640	301640	女の子でも愛せるよ
301640	303640	LGBTだから女の子と
303640	304640	付き合いしたいよ
304640	306640	キュンキュンキュンキュン
306640	308640	にんきゅんはLGBTだから
308640	310640	LGBTだから女の子としか
310640	311640	付き合いません
311640	313640	にんきゅんはかわいい女の子だから
313640	314640	女の子としか付き合いません
314640	316640	だから男の人のエッチな目は
316640	318640	ちょっと苦手かな
318640	320640	苦手かな男の人のエッチな目が
320640	321640	もうやめて
321640	322640	そんな目で見ないで
322640	323640	にんきゅんは
323640	324640	みんなのアイドルだから
324640	325640	そんな目で見ないで
325640	326640	かわいい
326640	327640	かわいいありがとうキュン
327640	329640	LGBTキュンだキュン
329640	330640	にんきゅんは
330640	331640	みんなの
331640	333640	お姫様
333640	334640	キュンキュン
334640	335640	にんきゅんは女の子だよ
335640	337640	女の子に対して
337640	339640	そんなエッチな目で見ないで
339640	340640	くしだらよ
340640	341640	おつましいわ
341640	342640	くしだらで
342640	343640	テクシャルハロウスメントで
343640	344640	訴えちゃうからね
344640	345640	訴えちゃうからね
345640	346640	まあ
346640	347640	ハロウィンだから
347640	348640	くれしたよ
348640	349640	ハロウィンのお姫様
349640	350640	似合ってる
350640	351640	かわいい
351640	352640	ぶっちゃけだける
352640	353640	髪型が男だからな
356640	357640	今のにんきゅんが
357640	358640	かわいかったら
358640	359640	18600円の
359640	361640	マイク欲しいな
361640	362640	しらしら
362640	363640	にんきゅん今
363640	364640	18600円の
364640	365640	マイク欲しいな
365640	366640	しらしら
366640	367640	にんきゅんが
367640	368640	新しいマイク買ったら
368640	370640	最新の音声もよくなるな
370640	371640	しらしら
371640	372640	にんきゅんに
372640	373640	いいことなぜ
373640	374640	いいことがで
374640	376640	お金とか降ってこないかな
376640	377640	しらしら
377640	378640	にんきゅんが
378640	379640	ペブマイク
379640	380640	入るように
380640	381640	18000円とかから
381640	382640	降ってこないかな
382640	383640	しらしら
383640	384640	にんきゅんの配信を
384640	385640	充実させたいから
385640	386640	ペブマイクが
386640	387640	欲しいんだけど
387640	388640	でも誰も
388640	389640	買ってくれないから
389640	390640	でも
390640	391640	神様に
391640	392640	お願いしたら
392640	393640	ペブマイク
393640	394640	買ってくれるかな
394640	395640	しらしら
395640	396640	にんきゅん
396640	397640	もっといい音声で
397640	398640	配信したいな
398640	399640	しらしら
399640	400640	にんきゅんは
400640	401640	みんなから
401640	402640	エッチな目で見られて
402640	403640	でも傷ついてる
403640	404640	傷ついた心を
404640	405640	癒してくれる
405640	406640	どう
406640	407640	起こらないかな
407640	408640	しらしら
408640	409640	にんきゅん
409640	410640	こんなに可愛いのに
410640	411640	みんなから
411640	412640	気持ち悪いとか
412640	413640	いっぱい言われて
413640	414640	嫌だな
414640	415640	しらしら
415640	416640	にんきゅん辛い
416640	417640	にんきゅん辛いよ
417640	418640	にんきゅん辛いよ
418640	419640	じゃあにんきゅんも寝るね
419640	420640	寝るね
420640	421640	おやすみ
421640	422640	18600円の
422640	423640	前回なかったな
