start	end	text
30000	39000	家に警察が来て怒られた
39000	55000	なんかあなたのような影響力のある人がそういうことをネットで配信すると
56000	61000	警察に電話がかかってきちゃうんですよ
61000	64000	とか言われた
64000	85000	そういうこと言われた
94000	118000	自分でもどうしたらいいのか分かんない
118000	126000	自分でも何したらいいのかも分かんないし
126000	134000	何がしたかったんだ
134000	138000	ただみんなに嫌なこと言われて
138000	142000	ずっとずっと嫌なこと言われて
142000	145000	ずっとずっとブロックして
145000	148000	それが続いて
148000	152000	でももう限界になるんだ
152000	156000	何がしたいのか分かんない
156000	160000	ずっとずっとブロックして
160000	171000	それが続いて
171000	174000	でももう限界になるんだ
187000	191000	なんかコラボのお誘いが来てるけど
191000	194000	受けられない
194000	197000	今そんな気分じゃない
207000	210000	何もする気が起きない
217000	220000	元気が出ない全然
223000	226000	何もする気が起きない
229000	232000	元気は出ない全然
236000	239000	元気は出ない全然
239000	242000	元気は出ない全然
242000	258000	先生、元気を与えなさい。
272000	280000	何も元気が出ない。
287000	291000	嫌なことばっかり考えちゃう。
303000	323000	ずっと打つ状態で、毎日きつくて嫌なことを言ってくる人がいっぱいいて、
324000	334000	親にも助けを求めたりして、でも助けてくれないし、とにかく毎日が苦痛の連続で、
334000	349000	生きてて楽しいって思えることがなくて、
350000	364000	親もさ、一緒に解決しようとか言ってくれるけど、でも解決できないよ。僕の問題だから。
371000	375000	解決できないよ。
380000	384000	僕、暗いんだよ。
388000	393000	匿名じゃない通常枠がいい。そうだね。
398000	401000	なんか楽しいことがない。
402000	406000	全部か全部、辛いことしかない。
409000	412000	もうすぐ眠くなるけど、
416000	420000	家庭からデジタルでドックスしたほうがいいよ。
432000	435000	バーガーありがとう。
437000	440000	この枠で元気出したい。
441000	446000	この枠でさ、元気出したい。
449000	455000	見た人が同じ気持ちになった、ああいうトークはいけないと思うよ。
461000	465000	でも俺ずっと前から考えてたよ。
468000	472000	毎日考えてることだよ。
478000	482000	どうしたら元気になるかわからない。
482000	486000	自分の鬱病が治ったら元気になるのかもしれないけど、
486000	490000	鬱病は治らないし、
494000	498000	治らない鬱病が。
502000	508000	さっきも警察官来てさ、どうしてそういうことをしたんですかって聞かれたからさ、
508000	513000	なんか鬱状態になって気がついたらやってたって言ってた。
513000	517000	本当に気がついたらやってたんだよ。
535000	538000	何したいんだろう。
544000	549000	そんな状態で女性と付き合ってまいても嫌だな。
550000	554000	僕は誰とも付き合わないほうがいい。
555000	560000	嫌なことされてさ、すごく嫌な気分になって。
565000	569000	なんかフラッチも昨日は楽しかったけど、
569000	573000	今日は全然楽しくないな。
577000	581000	今日は全然楽しくない。
586000	590000	ハロウィンフカツモンスターズプレゼントありがとう。
591000	595000	でもこういうときワーッと喜ばなきゃいけないんだけど、
596000	599000	心がついていかない。
599000	603000	嬉しいけど、心がついていかない。
613000	617000	どうしたらさ、元気になれるんだろう。
626000	630000	どうしたら元気になれるんだろう。
643000	650000	ご飯食べたけどさ、その後また配信やっちゃったから元気がなくなっちゃった。
655000	660000	誰かと会うにも、友達いないから会えない。
662000	665000	友達いないんだ僕。
674000	676000	実家帰ったほうがいいのかな。
676000	681000	でも実家帰っても別にやることないから一緒でただ辛いだけだし。
682000	685000	なんかただただ辛い。
690000	693000	Twitterでも変なこと書いちゃうし。
695000	698000	なんかもうダメだわ。
712000	715000	アイスもない。
733000	736000	気分が上がってこない。
737000	740000	僕はうつ病持ちだから、
741000	744000	一旦うつ機に入ったら、
745000	749000	ドヨーンとしちゃって暗い感じになっちゃう。
