start	end	text
0	1740	ねぇ今僕の声覚えてる?
1740	3580	マイクのマイクは壊れちゃった
3580	4060	マイクが壊れた
4320	4860	このマイク
5200	7520	あーあああーあーあー
7540	10740	あああああああああー
11940	12640	あっどうも
12640	13100	皆
13180	13680	はよう
13720	16540	あああ ahhh
16540	17560	これどっちがいい
17620	19460	あああああ
19460	20060	これと
20060	22080	ああああああ
22080	22660	これどっちがいい
22660	24960	なんかもうほんちゃんマイクが壊れたかもしんない
24960	26000	マイクは壊れたかもしんない
26000	26760	なんかほんちゃん
26760	27720	いやもういいや
27720	28220	このマイク
28220	28760	これでいいよね
28760	58760	ブゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥ
58760	60160	豆腐に囚われてほしい
60160	61760	エロスていうのは性愛の課utterなんだよ
61760	64160	なんか、こういうコメントが増えると
64160	65960	やりたくなくなるんだけど、
65960	66760	本当に
66760	68160	こういうコメントが 一回増えると
68160	69360	やりたくなくなる
69360	70460	やりたくないです、配信
70460	71100	切ります
71100	71840	うわ、、今
71840	72840	どれだけ外lleamを知ってるか 知ってる??
72840	73760	昨日
73760	75240	昨日Twitterで書いたことは
75240	76560	あれは本心だよ
76560	77760	昨日Twitterで書いたことは
77760	79560	それでも警察官が怒られたけど
79560	81360	でもあのときは本心だったよ
81360	84060	さばれとか死ねよとかnytdaとか
84060	85360	なんでそんなコメントしか 撃てないの
85360	87760	俺がまたおかしくなりそうなんだけど
87760	90660	俺がまたおかしくなってツイッターに書きそうなんだけど
90660	91160	わかる?
91160	94160	俺がまたおかしくなってツイッターに書きそうなんですけど
94160	95360	例の文言を
95360	96560	どうしたらいいんだろう
96560	98760	どうしたらいいのか分かんないもう自分でも
98760	100660	自分でもどうしたらいいのか分からない
100660	102560	もう楽しいコメント書こうみんな
102560	104760	みんなで楽しい空気を作っていこう
104760	105260	ねえ
105260	107260	みんなで楽しい空気を作っていこう
107260	109560	じゃないと僕もまた耐えられなくなる
109560	110960	また耐えられなくなる
110960	112560	僕はうつ病なんだよ
112560	113760	柔度のうつ病
113760	116060	柔度のうつ病をわずらってる
116060	117560	だからちょっとしたことで
117560	118560	晴れになるし
118560	121360	柔度のうつ病で頑張って配信してるのに
121360	122760	心ないコメント書いて
122760	123860	それで嫌になって
123860	126360	俺ってさ言ってていいのかなとか考えちゃう
126360	127760	俺って言っていいのかなとか
127760	128760	俺の価値で何?
128760	130160	好きな人も守れない
130160	131160	俺の価値で何?
131160	132460	好きな人も守れない
132460	133560	俺の価値で何?
133560	134560	もう限界なんだわ
134560	135060	価値で
135060	137160	俺さでも言って言いたいってのはある
137160	138060	今死んだら
138060	139560	でも死ぬのは怖いし
139560	140760	イリって死ぬのは怖いよ
140760	141860	そしたらどうしようとか
141860	143860	成功しても苦しいんじゃないかとか
143860	146360	この先いいことないとか思ったりして
146360	147760	でも俺は死なないけど
147760	149560	まだ死ねないなって思う
149560	151160	昨日は死にたかったけど
151160	152260	昨日は死にたかった
152260	153860	楽しい日がないと言っていけない
153860	154760	別に泣かないよ
154760	157060	とにかく僕はエロスを考える
157060	158160	エロスとタナトス
158160	159760	エロスっていうのは生への渇望
159760	161560	タナトスっていうのは死への渇望
161560	163460	だから僕はエロスを求める
163460	164960	バイクはブンブンうるさいな
164960	165960	バイク使ってるやって
165960	167960	なんでさあんなうるさい音を立てるの?
167960	169960	バイク乗ってるやって恥ずかしくないの?
169960	170460	ふざけんなよ
170460	172560	バイクの音とかイライラするんだけど
172560	173060	ごめんな
173060	173860	元気は出ない
173860	175160	みんなのコメントが酷くて
175160	175960	元気は出ない
175960	178060	でもいいコメント打ってくれる人もいるから
178060	179560	いいコメントだけ読むね
179560	180460	いいコメントだけ
180460	182360	いいコメントだけこれから読んでく
182360	182760	俺
182760	183860	俺もう限界だわ
183860	184460	いや俺もう
184460	185860	魂の限界だわ
185860	187360	魂の限界だわもう
187360	188060	あのね
188060	189960	人間で肉体寿命じゃなくて
189960	191560	精神寿命もあるんだって
191560	193560	それで精神的な寿命があったら
193560	194760	自分で死んじゃうんだって
194760	195260	それを
195260	196560	プロオゴラレイヤーが言った
196560	197460	ヒロゆきも言ってた
197460	199360	精神的な寿命あると思いますか?
199360	200060	っていうので
200060	201060	あると思ったから
201060	201660	僕は
201660	203360	精神的な寿命かもしれない
203360	204860	精神的な寿命かもしれない
204860	206560	こうやって叩かれるばっかりの
206560	207660	配信をしてて
207660	209060	全然楽しくないし
209060	210660	俺全然楽しくないの今
210660	211560	配信してて
211560	212960	ファッチやっても叩かれるから
212960	214060	全然楽しくない
214060	215360	叩かれるばっかりだから
215360	216560	楽しくないみんな
216560	217860	僕を楽しませて
217860	218960	何か楽しいことで
218960	219860	いっぱいにして
219860	221960	僕が生きてていいって思わせて
221960	223760	僕が生きてていいと思わせて
223760	224860	みんなの力で
224860	225960	こんな僕でも
225960	227560	生きてていいんだってことを
227560	228360	思わせて
228360	229460	〇〇じゃないと
229460	230660	もう限界だわ
230660	232560	俺の価値がないと思ったら
232660	233660	限界だもん
233660	236360	頃の健康ダイヤル3つといってまする
236360	238160	ラビダイヤルでお世話にします
238160	239360	20秒後に
239360	240660	およそ10円で
240660	241760	ご利用いただけます
241760	241960	なお
241960	243660	通話量低額プランの
243660	245060	対象外となります
245860	246460	もしもし
252460	253660	福島県福島県
253660	255660	頃の健康相談窓口です
255660	256660	あ、こん、こんにちは
256660	256960	はい
256960	257660	あの
257660	258260	今
258260	258760	僕
258760	260260	ネ、ネット配信をしてて
260260	260760	はい
260760	262660	この音声を流していいですか
262660	264360	あ、それはとても
264360	264860	あの
264860	265760	日付義務で
265760	266560	相談の内容
266560	267560	日付義務であって
267560	268060	はい
268060	268560	こちらの
268560	269760	音声の了解がない
269760	270060	はい
270060	270860	難しいので
270860	271360	あの
271360	272260	入ってきたい
272260	273560	ネットいじめを受けて
273560	274060	それで
274060	274460	はい
274460	275760	いや、配信を受けるんですよ
275760	276360	でもダメです
276360	276860	はい
276860	277360	それは
277360	278060	ませんので
278060	279360	申し訳ありませんが
279360	279660	はい
279660	281460	返していただければと思います
281460	282060	わかりました
282060	283760	はい、ありがとうございます
283760	284660	失礼します
284660	286060	配信しちゃいけないんだで
286060	287860	俺がネットいじめされてるから
287860	289060	ネットいじめされてるから
289060	289960	こう、こういうことを
289960	290760	思うけど
290760	291260	俺は
291260	292760	ネタでしたわけじゃないよ
292760	293160	ただ
293160	294160	本当に辛いんだよ
294160	295160	本当に昨日とか
295160	295760	ガチで
295760	296760	死にたいと思って
296760	297560	何書いちゃっていい
297560	298560	それで警察官が
298560	298960	で
298960	299760	大丈夫ですね
299760	300760	とか言われたりして
300760	301960	俺本気で辛いんだよ
301960	303160	本当に俺辛いんだよ
303160	303860	ネタとか
303860	304860	ガチだから
304860	305960	ダイヤルだったんだけど
305960	306560	でもさ
306560	307760	死にたがってる人が
307760	309260	電話するところなのに
309260	310660	お金がかかるということ
310660	311860	フリーダイラルでしょ
311860	312760	死にたがってる人は
312760	314160	お金がない人が多いんだよ
314160	314860	それなのに
314860	316660	20秒10円かかるとか
316660	317260	ということ
317260	318060	どんだけボレば
318060	318860	気がつむんだよ
318860	319660	どんだけボレば
