start	end	text
0	4000	今日はね、ちょっとまったり配信したいなと思って
4000	6000	こんにちは
6000	10000	今日は、ちょっとまったりしようかなと思って
10000	12000	元気になった
12000	17000	ご飯食べて、歯磨いたらちょっと元気になっちゃった
17000	19000	髪切ってない
19000	21000	にんちゃま、ありがとう
21000	23000	元気やってるよ
23000	25000	落ち着きました
25000	27000	イヌシシからありがとう
30000	33000	ちょっとね、元気になった
33000	35000	落ち着いた
35000	38000	くらしきジョンナさん、ありがとう
39000	43000	これからはね、あんまり動揺しないようにしていこうと思った
44000	46000	動揺しないように
46000	49000	僕すぐ動揺しちゃうからさ
49000	52000	歯磨きは毎食後にする
52000	53000	ひよこありがとう
53000	59000	ご飯は、バーガーキングのチーズワッパーとポテトと
59000	61000	0カロリーコーラ
61000	64000	ポンタさん、ミリさん、ありがとう
65000	69000	まあ、そういうわけで僕も元気に出ました
69000	72000	一時はメンタルがやられて
72000	75000	辛かったけど、てんぴさん
75000	77000	どうしたんですか?というよりなんか
77000	81000	ちょっと前の枠でひどい配信しちゃったから
81000	87000	なんか落ち込んでたけど、こうやってまた配信できるようになりました
87000	90000	そう、ニンちゃんは普段いい子なんだよ
90000	93000	ニンちゃんは元気になった、ありがとう
93000	97000	みんながそうやって励ましてくれるおかげで元気になります
97000	99000	ニンさんも可愛い、ありがとう
99000	101000	ニンちゃん可愛い
101000	103000	可愛い
103000	105000	僕って可愛いよね
106000	108000	僕って可愛いよね
109000	112000	ニンちゃん可愛いよね
113000	115000	ひよこありがとう
116000	119000	あ、ハンバーガーポテトありがとう
119000	121000	ニンちゃんも好き
121000	122000	僕も好きだよ
122000	125000	ふわっちのリスナーさん好きだよ
127000	129000	イノシシが妊婦に嫉妬してる
129000	134000	嫉妬するわけないじゃん、だってイノシシは彼女がいて人気者で
134000	136000	まあいいや、それは
139000	142000	髪型いけてますね、大学生ですか
142000	147000	43歳の無職の童貞の引きこもりの障害者です
147000	152000	でもこの髪はいいでしょ、シルバーグレー
152000	158000	でもこれも全部黒に生え変わるまで何もしない
158000	161000	サイレントブロックされてる
161000	164000	あ、ひよこありがとう
164000	166000	落ち着いてる方がいいよね
166000	168000	僕もあんまり変な配信しないようにしよう
168000	172000	嫌なコメントはサイレントでブロックする
172000	174000	こんにちは
174000	176000	風船ありがとう
179000	182000	まあ僕もね、いろいろ頑張ります
182000	184000	僕もね、いろいろ頑張ります
184000	186000	僕もね、いろいろ頑張ります
187000	191000	まあ僕もね、いろいろ頑張りますわ
191000	194000	黒髪に染めてほしいなっていつも
194000	196000	でも黒髪になっちゃうと
196000	200000	染めるとなんかね、落ちると赤くなっちゃうんだって
200000	204000	だからこの髪型で、髪色でいく
204000	207000	青髪も黒髪もよかった
207000	210000	自分としては黒髪自体が一番好きだったね
210000	213000	ちょっと青髪はちょっとやりすぎだと思う
213000	215000	このグレーンもあんま好きじゃない正直
215000	218000	早く黒髪に戻りたい
218000	219000	ピンク色
219000	222000	ピンクはさすがにないでしょ
222000	225000	ノダゾーリみたいになっちゃうし
225000	226000	イクイナックサと
226000	228000	あ、僕競馬やらないから分かんない
228000	231000	競馬やってた、競馬は
231000	234000	なんか競馬で、競馬は
234000	236000	競馬やってた、競馬は
236000	239000	なんか多岐豊か2000円かけて外れて
239000	242000	それでもうやる気がなくなった
242000	245000	1ヶ月ぐらい前に
245000	247000	紫、いやだよ
247000	249000	だってこれ以上ブリーチしたくないもん
249000	250000	お金かかるし
250000	254000	だってブリーチするのに1万、1万いくらかかるんだよ
254000	256000	1万5000円ぐらい
256000	258000	ブリーチで
258000	263000	1回、2回ブリーチで1万5000円ぐらいかかるからね
263000	265000	ひよこありがとう
265000	269000	いくつ、いくつって年は43ですけど
269000	273000	顔と知性と教養がにじみ出てるよね
273000	276000	ありがとう
276000	278000	ふわっちの
278000	280000	三浦春馬です
280000	282000	三浦春馬くんも亡くなっちゃったけど
282000	284000	イケメンだと思った僕は
284000	289000	日本人の中で一番イケメンなのが三浦春馬くん
289000	290000	頭めっちゃ良さそう
290000	293000	まあこう見えてもね、徴用はあるからね
293000	299000	坂口暗号のダラク論とか読んでるから
299000	301000	だからこれからは嫌な人は来ない
301000	303000	みんな良い人ばっかり
303000	305000	僕の大好きな良い人ばっかり
305000	309000	僕はその中で頑張っていく
309000	310000	頭あるよ
310000	314000	だって高校の偏差値が38だった
314000	319000	高校の偏差値が38の商業高校
323000	325000	ダラク論っていうのは
334000	337000	ダラク論っていうのは日本が
337000	342000	日本人がどれだけダラクしてるかってことを書いたもの
343000	345000	それで日本の歴史が分かる
345000	349000	神話の時代からどうやって天皇になったかまで分かる
349000	351000	ダラク論っていうのは
351000	354000	またヌマップの路上ライブ期待してます
354000	357000	ヌマップも活動していくから
357000	362000	僕はこの前入院してたから出られなかったけど
362000	364000	ヌマップも頑張りたいと思ってます
364000	367000	よろしくね、よろしく
368000	371000	よくありがとう
374000	376000	コラボしたいね、誰かと
376000	378000	ちょっと待って、今コラボしたい
378000	380000	相手探すね
382000	383000	いるかな
383000	384000	いない
384000	387000	今はリクエストできる人がいないようでしたって
387000	389000	コラボ2回したけど面白かった
389000	393000	やっぱり他の配信者と喋るの楽しいわ
394000	397000	他の配信者と喋るの楽しい
398000	401000	ニコ生ではそういう機能がないからさ
401000	403000	あれだけど
403000	406000	ちょっと待って、水取ってくる
413000	415000	コラボ面白かった
415000	418000	そう言ってくれると嬉しいな
424000	427000	でもさ、ふわっちで
427000	430000	コラボ機能をオンにしてる人ってあんまりいないよね
430000	432000	だっていつ見ても
432000	435000	コラボする相手が出ませんでしたってくるから
435000	437000	コラボしたいな
437000	439000	話したい、喋りたい
439000	442000	なんか、ふわっちの人、仲良くなりたい
442000	444000	兄ちゃん元気になったよ
444000	446000	コラボ楽しい
446000	449000	最初、若い男の人とコラボして
449000	452000	その次は若い女性の人と
452000	454000	若い女性の人とコラボした
454000	457000	なんか、刺激を受けるよね
458000	460000	待ってよ、何してたの
460000	462000	いや、普通にご飯食べたい
462000	464000	いや、どんな人でもコラボしていいよ
464000	466000	記憶ありがとう
466000	468000	僕とコラボしたいな
468000	469000	あ、おならがしたい
469000	471000	ちょっと待って、ミュートする
471000	473000	ミュート、ミュート
473000	475000	あ、オッケー
475000	477000	オッケー
479000	481000	あ、おなら臭っ
481000	483000	なんかめっちゃ臭いんだけど
483000	485000	ハンバーガー食べたから
486000	488000	おならがめっちゃ臭い
488000	490000	うんこの匂いがする
490000	492000	兄様こんにちは
492000	494000	はい、こんにちは
496000	498000	ちゃんとミュートするようになったから
