start	end	text
0	8000	マイクを近くに置いて喋ってるんだけど 今、聞こえてる?
8000	12000	今、聞こえてる?
12000	16000	マイクがついに完全に怖いんだけど
16000	20000	今、聞こえてる?
20000	24000	マイクがついに完全に怖いんだけど
24000	30000	マイクがついに完全に壊れた
30000	34000	言ってしまわれた
34000	36000	ソニーのマイクが
36000	40000	これで十分聞こえる?
40000	44000	小さい?
44000	46000	あ、これモノラルマイクなんだ
46000	48000	そうだ
48000	50000	こんばんは
50000	52000	枠が安定しない
52000	54000	こんにちは
54000	56000	昨日は心配したよ
56000	58000	ありがとう
62000	66000	ごめん、数値いっぱい気まぐりで
66000	68000	なんか
68000	72000	ふわっちがすぐ止まっちゃう
72000	76000	よかったら
76000	82000	僕の配信が面白いと思った方がいたら よろしくお願いします
82000	88000	僕の配信が面白いと思った方いたら よろしくお願いします
88000	92000	なんかご飯食べたいな
92000	94000	ハロウィン行かない
94000	98000	超いいね、ありがとう
100000	104000	暗い?
104000	108000	カメラやっぱり明るくするか
108000	110000	こうやって暗いと
110000	114000	心まで暗くなってくるからな
122000	124000	心まで暗くなってくる
124000	126000	あ、なんか来た
126000	128000	ありがとうございます
128000	132000	ハロウィンふかすモンスターズプレゼント
132000	136000	やったー、元気出てきた
136000	138000	これ、これ、元気出てきた
138000	140000	うつかんち
140000	142000	みなさん、ありがとうございます
142000	144000	ありがとうございます
144000	146000	うつが治りました
146000	148000	花火どっか
148000	150000	ありがとうございます
150000	152000	うつが治っちゃいました
152000	154000	いや、うつが治っちゃいました
154000	156000	どんちき、どんちき、どんちき
156000	158000	ふうさん、ありがとう
158000	160000	やっぱアイテムが来るとテンション上がって
160000	162000	どんちきしちゃうよね、こんにちは
162000	164000	それよりおなかすいてきたな
164000	166000	うばいつか
166000	168000	で、前からなんか食べたいけど
168000	170000	でも今日はもう食べらんない
170000	172000	お金がないから
172000	174000	どんちき、どんちき、どんちき、どんちき
174000	178000	お金がないからご飯食べれない
180000	184000	お金がないからご飯食べれない
190000	192000	こんにちは
194000	198000	なんか微妙に元気ないね
198000	202000	うん、最近元気がない
202000	204000	ひよことかありがとう
204000	206000	風船とか
212000	214000	ご飯食べたいな
220000	222000	あ、こんにちは
222000	224000	風船ありがとう
224000	226000	あ、ハンバーガーありがとう
226000	228000	いや、ありがたいわ
228000	230000	ありがたいわ
234000	236000	ひよこありがとう
240000	242000	うちね
242000	244000	あの炊飯器がないの
244000	246000	だからご飯たかない
246000	248000	それか
