start	end	text
0	7000	マイクでだって設定するの?
14000	16000	もうやだ
18000	20000	もうやだ
25000	27000	もうやだ
31000	33000	もうやだよ
40000	42000	もうやだ
43000	45000	全部やだ
46000	54000	鬼子玉も焼いたくないし、フラッチも焼いたくないし、ツイカスも焼いたくない、全部の配信サイトがやだ
61000	63000	全部がやだ
72000	74000	もうやだ
76000	78000	もうやだよ
78000	80000	もうやだ
87000	89000	ちょっと待って、ミュートさせて
90000	93000	そうだ、今日母ちゃんは出かけてたんだった
97000	100000	母ちゃんは今日出かけてたんだった
103000	105000	もうさ、俺もうだめだよ
106000	109000	みんな、俺もうだめだよ
110000	113000	もう一人で生きてくる、だめだよ
115000	117000	もうだめだよ
123000	125000	もうやだ
126000	128000	もう全部がやだ
129000	132000	何もかもやだ、自分の人生の
133000	135000	もう全部がやだ
144000	146000	もうやだ
150000	153000	もうやだ、嫌な奴しかいない、もう
154000	156000	フラッチにも嫌な奴しかいない、もう
157000	159000	フラッチにも嫌な奴しかいない
160000	162000	助けてよ
163000	165000	助けてよ、僕のことを
166000	168000	助けてよ、誰か
169000	171000	助けてよ
172000	174000	嫌な奴しかいっぱい集まってくる
175000	178000	俺、関わりたくないのに、そいつらと
180000	183000	関わりたくないのに、関わられてさ
184000	185000	もう嫌になってきたよ
186000	188000	助けてよ
189000	191000	助けてよ
198000	200000	ブロック全部してるのにしても
201000	203000	してもさ、追いつかないんだもん
204000	206000	嫌なコメントする奴いっぱいいるんだもん
207000	209000	嫌なコメントする奴いっぱいいるんだもん
210000	212000	俺は普通に配信したいだけなのに
213000	215000	嫌な奴がいっぱいいるんだもん
215000	216000	なんかもう
217000	219000	ブロックしてもブロックしても追いついてこない
220000	222000	ブロックしてもブロックしても追いつかない
223000	224000	嫌な奴がどんどん沸き出てくる
225000	226000	ゴミのように、ヘドロのように
227000	228000	気持ち悪い
229000	230000	もうフラッチやめる
231000	232000	もうフラッチやめるわ俺
233000	234000	フラッチとか意味ない
235000	236000	配信自体やめる
239000	240000	もう嫌だ
245000	246000	もう嫌だ
254000	256000	嫌なコメントがいっぱいくる
260000	262000	嫌なコメントがいっぱいくる
264000	265000	嫌だ
265000	266000	もう
274000	275000	ブロックしてもブロックしても
276000	277000	いっぱいくる
278000	280000	ブロックしてもブロックしてもいっぱいくる
281000	282000	もうお家にも頼れない
283000	286000	ブロックしてもブロックしてもいっぱいくるんだもん
287000	289000	嫌なコメントがいっぱいくるんだもん
290000	291000	ブロックしてもブロックしても
292000	293000	もう気持ち悪いんだもん
293000	295000	全部気持ち悪いんだもん
295000	297000	嫌なんだよ
297000	299000	ブロックしても
299000	301000	ブロックしてもいっぱい来る
301000	303000	そういう奴らがいっぱい来る
303000	305000	そういう奴らがいっぱいいる
305000	306000	ブロックする
306000	307000	ブロックした
307000	308000	ブロックまたする
308000	309000	ブロックした
311000	313000	嫌なコメントする奴は
313000	314000	全員ブロックする
314000	316000	何人までブロックできるんだろう
323000	325000	250人じゃ足りないよ
325000	327000	もっとブロックさせろよ
339000	340000	ブロック
345000	346000	ブロック
353000	354000	ブロック
368000	369000	ブロック
381000	382000	ブロック
383000	384000	ブロック
398000	400000	なんでブロックしてる奴がいるの
406000	407000	ブロック
413000	414000	ブロック
422000	423000	ブロック
433000	434000	ブロック
443000	444000	ブロック
444000	445000	ブロック
445000	446000	ブロック
