start	end	text
0	2000	どうも、ファンがバンになりました
2000	3280	ファンがバンになって
3280	4500	こういうことだったなら
4500	6300	アラームと停止もするであります
6300	7700	バンになった場合には
7700	9300	配信でニコナンみたいに
9300	10800	インチバンとかじゃないんだろうから
10800	12000	ファンは2年より話し
12000	13100	みんなが俺を落とし
13100	14300	みんなが俺を殺そうと
14300	16500	嫌なメントをシェイルで話していたので
16500	18100	それでバンになって思われるんですよ
18100	19300	みんなが俺のことを
19300	20100	殺そうと思って
20100	22100	どちゃけ殺そうとしてるでしょ
22100	24500	みんな俺のこと死ねばいいのにと思うでしょ
24500	26600	俺のこと死ねばいいのにと思ってるでしょ
26600	28500	どちゃけ言うとみんな死ねばいいのに
28700	30200	俺のことを苦しめて
30200	32200	嫌なことで死ねばいいのに
32200	33900	何千人から思われて
33900	35800	何千人から馬鹿にされて
35800	37700	何千人から悪意を持たれて
37700	39200	僕の今のフォローは
39200	39900	5000人
39900	41600	5000人のうち何人が
41600	43200	この幸せを願ってくれてる
43200	45300	みんな僕のことを死ねばいいと思ってるよね
45300	47600	こいつ自殺しねぇかなと思ってるよね
47600	48700	それ正解でしょ
48700	49600	アンケート取ろう
49600	51900	これかなり今から出すアンケートは
51900	53700	かなり重要なものだから
53700	55100	殺してやってね
55100	56300	すごく重要なことだから
56300	57300	殺してやってね
57300	58400	僕のあれだから
58400	60200	5、4、3、2、0
60200	61200	私はもうダメだね
61200	62100	もうもうダメだし
62100	63100	そんなもんもダメだし
63100	64000	それもダメになら
64000	65700	もう僕は何もできないから
65700	66100	といって
66100	67400	そんなもんしてない僕にはがない
67400	68500	大事にしてない僕にはがない
68500	69300	なんのしかわかる
69300	70900	みんな嫌なこと言うやつがいたり
70900	72700	こういうようなコメントをわざと言ったり
72700	73600	続けることをしたり
73600	74600	嫌なこと言うやつが
74600	75300	1割もいる
75300	76100	国死んでほしいとか
76100	77000	1割もいるんだよ
77000	78400	大事になんかなるわけない
78400	79200	1割にもなる
79200	80800	1割以上僕のこと死んでほしい
80800	81800	ためじまさんって言ったよ
81800	82200	ためじまさん
82200	83500	ためじまさんはなんで言ったんだ
83500	84300	あるかもんじゃん
84300	85100	豪華ないな
85100	85600	豪華ない
85600	86200	あなたも
86200	87300	大変嫌なことを歌った
87300	88500	楽しく配信になりたい
88500	90000	今日だけこんな暗い配信になる
90000	90900	止まらない配信が
90900	92100	マイクが壊れたのも
92100	92700	神の経済も
92700	94200	お前はもう配信やめろっていう
94200	95000	神の経済かも
95000	96400	俺の人生で何だったんだ
96400	98000	枯れて終わるだけの人生だ
98000	99100	俺は眠れない
99100	99400	なんか
99400	100700	なんか全然眠れない
100700	101900	全然眠れないな
101900	102300	あのさ
102300	104100	思念力がどうしても消えない
104100	105600	毎日死にたい思ってる
105600	106400	毎日毎日
106400	107100	見たい見たい
107100	108000	でもこうできない
108500	109400	前に見たいと思ってる
109400	110200	でも事故できない
110200	111100	まだ何かさ
111100	111700	あるもん出ない
111700	112000	何か
112000	112600	おやかな
112600	113000	おやかな
113000	113400	どういうこと
113400	114000	もう嫌だって
114000	114400	どういうこと
114400	114800	嫌だ
114800	115300	違いとか
115300	115700	でも
115700	116200	親が
116200	117400	悲しむかもないから
117400	119100	誰も悲しむ人がいなくなって
119100	120700	失敗の可能性がゼロで
120700	121400	どうなったら
121400	121800	いいな
121800	122000	もう
122000	123000	親に悲しんでない
123000	123500	今の
123500	124800	670の親を
124800	125300	話します
125300	126000	自分のさ
126000	127500	全てを話せる人がいない
127500	129400	僕の全てを話せる人がいない
129400	129900	毎日
129900	130800	毎日苦しい
130800	131400	なんでこんな
131400	132600	毎日苦しいんだろう
132600	133300	なんでさ
133300	134200	イノシシみたいに
135200	136800	なんで他の配信者みたいに
136800	137600	楽しないんだろう
137600	138300	なんで僕だけ
138300	138600	こんな
138600	139400	悪い思いをして
139400	140500	入らなきゃいけないんだろう
140500	140900	全部か
140900	141200	全部
141200	141500	嫌だ
141500	142000	俺だけ
142000	142500	ドライオンを
142500	143000	嫌だ
143000	143500	俺だけ
143500	144000	ドライオンを
144000	144300	言ってる
144300	144800	でも
144800	145600	このままだと
145600	146100	コメントに
146100	146800	耐えられると
146800	147100	わずかの
147100	147600	コメントには
147600	148300	耐えられないの
148300	148800	なんでな
148800	149200	やっぱり
149200	150500	コメント流れたかな
150500	151000	わずかは
151000	152100	3万円貯まったら
152100	152800	何で終わる
152800	153200	わずかはもう
153200	153500	しない
153500	153900	ついに
153900	154700	変わらないんだ
154700	155000	不要が
155000	155500	なおれば
155500	155700	やっぱり
155700	156100	不要が
156100	157100	こういうふうになるんだ
157100	157500	みんなが
157500	158000	楽しんでも
158000	158600	そういうだけで
158600	159900	どんぶらいわけじゃないんだ
159900	160500	ここをみんなに
160500	160900	混ざって
160900	161800	楽しい雰囲気を
161800	162600	味わいたいけど
162600	163000	でも
163000	163900	そういう気持ちになれない
163900	164900	そういう気持ちになれない
164900	165600	じゃゲームか
165600	166100	じゃゲーム
166100	166600	これね
166600	167300	最近の俺は
167300	167800	限界だ
167800	168600	昨日のアンケートの
168600	169200	忘れるな
169200	170000	アンケートのこと
170000	170400	覚えとけ
170400	170900	荒れて
170900	171400	に死ね
171400	171800	やつら
171800	172700	全員覚えとけよ
172700	173100	されて
173100	174100	僕の心を
174100	174400	押しよう
174400	174800	やつら
174800	175300	覚えとけよ
175300	175800	覚えとけよ
175800	176100	されて
176100	176600	僕の心
176600	177200	ぐちゃぐちゃに
177300	178800	やり方はいくらでもあるんだ
178800	179500	覚えとか
179500	180000	死なない
180000	180500	今はまだ
180500	181000	死なない
181000	182000	やることがあるから
182000	182700	僕は死なない
182700	183500	やることがある
183500	184600	やることがあるからな
184600	185300	俺にはまだ
185300	186300	やることがあるんだ
186300	186500	僕は
186500	187200	死年料が
187200	188200	18歳のから
188200	188700	毎日
188700	189000	毎日
