start	end	text
0	5000	こだわりのあるところにものすごくアイデンティティを求めて
5000	6500	重要視されてますよね
6500	8500	確かにそうですね
8500	10000	内面については
10000	14500	今恋愛のこととか人付き合いのことですごく悩んでらっしゃるみたいなんだけども
14500	17000	昨日ユーガさんもいろいろお話しされてましたが
17000	18500	外見を変えることの努力
18500	20000	今わかりましたお話ししてください
20000	22000	内面を変えることについては
22000	24000	そのように今お考えですか?
24000	26000	内面は
26000	28000	それは内面も
28000	31000	ちゃんと人とコミュニケーション取れるようになったりとかないし
31000	32000	どうやったら
32000	37000	忍法さんが望むコミュニケーションを取れる姿に近づくと思いますか?
37000	39000	どうすればっていうのが
39000	41000	わからないですよね普通は
41000	42000	なるほど
42000	44000	今会話成立してますよね
44000	46000	いろいろな方今見にくださったりも
46000	48000	配信者さんたくさんいらっしゃいますけど
48000	50000	ということで第1弾成り立ちますか?
50000	52000	第1?わからないです
52000	55000	客観的に自分のやりとりであるとか
55000	56000	どう見える?
56000	57000	どんな会話をしているかっていうのを
57000	59000	見るからが弱いのが
59000	61000	アセルが無性だとは思うんですが
61000	65000	ご自身を客観的に見てないなと思う部分がすごくあるんですね
65000	67000	忍法さんはすごくこだわりのある人が強い
67000	70000	自分を守りたいという願いが強い方なので
70000	72000	メンタルとか人とのやりとりでも
72000	76000	ある異性の情や姿が人に向けて変えられるようになるんです
76000	80000	そのためにご自身の様子を客観的に見るからがついたらだなと思いますよ
80000	82000	自分の客観的に
82000	85000	こういうことを誘わせちゃ合わないで
85000	88000	自分の発言を具体的に何に起こったんだろう考えるでしょう?
88000	90000	次に理由が大体推測できたら
90000	92000	代わりに何言えばよかったのか
92000	93000	言ってよかったのかなとか
93000	97000	こういうふうに自分の言動の検討をされるといいと思う
97000	98000	多分ですね
98000	101000	それが難しいのが
101000	104000	自閉スペクトルム症だと思うので
104000	107000	仕事で生涯の関係を知っていたんですが
107000	108000	自分もそうなんですけど
108000	110000	皆さんそれを言い訳には出ません
110000	113000	どこかの人が言い訳にされないかもしれないけど
113000	117000	僕は発達障害でいうのが一番の問題だと思っているので
117000	121000	何よりも発達障害であるとに捕らわれ続けているのは妊娠さん
121000	124000	あなたが自分で芝生というように私見えてすごく切ないの
124000	127000	いろんなその筈のある思いの方と変わって自分もそうだし
127000	129000	事変の方も変わってきたんですけど
129000	131000	やっぱり点を押されたり自分で付いたりすると
131000	134000	より良い人間関係を削りたいなと思えば
134000	135000	皆さん振り返りをされます
135000	137000	そして補行心というかその中で
137000	139000	代わりになんて言えばよかったら
139000	140000	しんどく考えられる
140000	141000	考え妊娠さんの場合
141000	144000	伝えることを残念ながら放棄しているようにしか見えないんですね
144000	146000	その言い訳として自閉スラムだから
146000	147000	病だからというふうに
147000	149000	すべてその言い訳を出すによって
149000	152000	自分をより良い姿になる方から遠ざけちゃう
152000	155000	僕には理解ができない話で
155000	157000	そうやってほら考え放棄しろ
157000	159000	もっと簡単に話すと
159000	161000	やらかしたって思ったときに
161000	164000	余計なこと言って嫌われたとは思うだろうけれど
164000	166000	何が悪か考えますか?
166000	169000	僕はよく人を怒らせたり
169000	170000	会いに去ったり
170000	174000	でもこれは変えられないんじゃないかなと思って
174000	176000	変えられるんですよ妊娠さん
176000	178000	今よく教えましたよね
178000	181000	何度もどう怒らせる経験を教える妊娠さんだから
181000	184000	いろんなパターンや経験を組んでいるので
184000	188000	ご自身の言うやしたことを振り返るさえできれば
188000	190000	同じ過ちを振り返さない可能性があるわけです
190000	193000	なんだろうな妊娠さんってすごく豊富だし
193000	196000	広くご自身の興味のあることをものすごく
196000	198000	素人する力もあるし
198000	202000	自分の好きなことやこだわりのあることを発信する力もあるじゃないですか
202000	205000	だからそういう良いところもあるのは思っているんです私
205000	207000	配信者として
207000	210000	多分人間関係のことについては
210000	214000	そこまで努力する必要あるのかなって
214000	215000	なるほど
215000	220000	自分が20歳とかだったら抱えようと思うかもしれないけど
220000	222000	もう43歳になって
222000	226000	合わない人は合わないでいいやつって思っちゃって
226000	227000	それは分かります
227000	230000	私が学校の先生だったんだけど
230000	232000	生徒同士でうまくいかないとあると
232000	235000	いつも言うのは全員と同じだけ仲良くしようと思うから
235000	239000	本当に心を許し合えると言えばいいけれど
239000	241000	他の人はどうでもいいんじゃなくて
241000	243000	どうでもよくあったらトラブルが必ず起きるから
243000	246000	トラブルがおかない程度に優しさや思いやりをもって
246000	249000	無理のない程度に出会えなさいとは言うね
249000	252000	人法参考をしたら限られた人と仲良くすればいいと
252000	254000	みんなとうまくいかなくていい考えと本当に近いので
254000	255000	分かります
255000	259000	それは生涯の我々にとって無駄がない考えだと思います
259000	260000	そうですよね
260000	262000	そうですよ全員にいい顔なんかできないもん
262000	266000	僕も合わない人と話すの好かれるし
266000	269000	合わないなら合わないでいいやってなっちゃうんですよ
269000	271000	それはそれで正解だと思いますよ
271000	275000	例えば自分にスゴキーを向けてくる人であったり
275000	277000	常に厳しいことしか言わない人とか
277000	279000	必ず心を振るような人に対しては
279000	284000	ご自身を守るためにトラブルが起きない程度の対応でいいと思います
284000	287000	ただ本当に心配してくれる人もいますよね
287000	290000	それはどうだか分からないです
290000	292000	まずご家族がいるじゃないですか
292000	297000	家族も本当に僕のこと100%分かってくれてるかどうかも分からない
297000	300000	人法さん100%なんか分かるわけないんですよどんな親子だって
300000	302000	人法さんご自身のこと100%把握されてます?
302000	305000	僕は自分のことを把握してますね
305000	306000	すごい!
306000	309000	僕はとてもそんな能力で自分のことでも分からないこといっぱいです
309000	312000	なんでそんなことなんだろうとか後悔することいっぱいです
312000	315000	多分みなさんも家族やどんなにいい人間だったりも
315000	317000	100%理解相当難しいと思うんですよね
317000	321000	だから人法さんがご家族のことでと思うのは不思議じゃないと思います
321000	323000	ただ家族として存在している以上
323000	325000	人法さんが無効である以上
325000	329000	ご家族は今一生懸命人法さんを養ってくれてるわけじゃないです
329000	330000	そうですね
330000	333000	それを無限にいけないと思うんですよ
333000	336000	まあでもなんて言うんだろうな
336000	341000	多分僕なんかだと僕が一番苦しいと思ってて
341000	347000	それに比べたら親の苦しみなんて大したことないだろうか思っちゃって
347000	350000	親御さんは何が苦しいと思われますか?
350000	356000	僕が配信で警察から電話があってそういうことが嫌みたいですけど
356000	360000	実際嫌だと思いますよ自分の家族が警察だったら
360000	365000	まあでも今まで僕が親のメンタルケアもできないし
365000	369000	だからもう僕は自分のことでいっぱい理解で
369000	373000	親御さんは人法さんに対して他のことは心配してないですか?
373000	374000	配信のことだけですかね?
374000	379000	配信のことしか配信やめろとかそんなことばかりで
379000	383000	人法さんの変更状態は似てられると思いますか?
383000	386000	変更状態入院しろぐらいして
386000	389000	ネットから距離を取れぐらいしか言わない
389000	392000	親は世検定ばかり気にして
392000	395000	僕のことをそこまで考えてるとは思えない
395000	398000	ご両親70代で
398000	400000	やっぱり年齢高ければ高いほど
400000	403000	精神疾患の見方とか捉え方っていうのはなかなかないので
403000	405000	やっぱり検定とか特に警察だったり
405000	408000	周りに影響がある立場ですから
408000	411000	僕は検定とかもう知るほどどうでもよくて
411000	414000	人法さんはどうでもいいけど親御さんはどうでも良くないんですよね
414000	417000	じゃあ配信のこと健康のことね
417000	420000	人法さんの将来についてはご両親はどのようにお考えだと思いますか?
420000	424000	将来のことはもう考えてくれてないよ
424000	426000	だって人法さんの人生だもん自分で考えなきゃ
426000	431000	親が41歳の子供の人生考えてあげるなんておかしいんですよ
431000	433000	確かにそうですけど
433000	438000	43歳だと早い方はもう子供がいるのもいらっしゃるんですよね
438000	442000	そうなると自分の人生じゃなく子供の人生を考えるような人生がずっとされて
442000	446000	ただ人法さんはそれはしないでご自身のことだけ考えて
446000	451000	その上親にまでその先のことまで考えてもらおうなんていうのはとても甘い話です
451000	453000	一般的にね
453000	455000	一般的にはそうでしょうけど
455000	459000	親には産んだ責任っていうのがあるじゃないですか
459000	461000	産まれてきてはどうなんでしょう?
461000	464000	産まれたくて産まれたわけじゃない
464000	466000	僕はこんな人生だからね
466000	469000	産まれてきた以上誰かに愛されたい気持ちはあるでしょう?
469000	470000	まあそうそう
470000	473000	より良くいきたいとか
474000	477000	私と仲良くなりたい気持ちはあるでしょう?
477000	480000	今はあんまりそういうのもなくなっちゃってきて
480000	483000	今も自己肯定感としては下げ下げのところなんですね
483000	484000	そうですね
484000	486000	聞いてみたいことがあって
486000	489000	ご両親に人法さんの人生を考えてもらうとしたら
489000	492000	どんなことを考えてもらいたいですか具体的に
492000	493000	具体的にですか
493000	494000	どうして欲しいとか
494000	497000	とりあえず遺産を全部僕に渡して
497000	501000	とりあえず僕が一生過ごせるだけの資産を残してくれて
501000	503000	それくらいですかね
503000	505000	経済的な面で
505000	509000	人法さんが今後心配がないように保障してくれと
509000	511000	お弟さんと妹さんいらっしゃいますよね
511000	512000	ありますね
512000	515000	ご兄弟には何も分けない
515000	517000	分けないというお考えですか
517000	520000	兄弟たちは多分遺産かなくてもやけると思うんで
520000	524000	僕はもう金がないと多分生活応募にならうような人間
524000	525000	それは嫌だなと思ってて
525000	529000	確かにお金がなかったり定期収入がなければ
530000	533000	さらに国のお世話になる将来じゃないですか
533000	534000	嫌ですよね
534000	536000	絶望的な気持ちになって
536000	538000	そういうことも僕も
538000	540000	病が治らない原因なのかなとか
540000	543000	年金はOKだけど生活保護は嫌なんでね
543000	544000	生活保護は嫌だというか
544000	548000	生活保護で何かいろいろ指すされる
548000	550000	ソーシャルワーカーか何かに
550000	551000	お金の使い方とか
551000	552000	そりゃそうですよ
552000	554000	だって生活保護してもらってるんですから
554000	556000	財産は儲いてはいけないとか
556000	557000	いろいろ経営ありますよ
558000	561000	ただ単に無条件にお金がくれるわけ
561000	562000	お金くれるわけありません
562000	563000	それは分かってるんですよ
563000	565000	そういうのめんどくさいなと思ったら
565000	566000	嫌なんで
566000	567000	そういうのは具材から
567000	568000	そうですね
568000	570000	そのために親御さんにまとまった
570000	573000	将来暮らせるだけの金額を残してもらいたい
573000	574000	その通りですね
574000	576000	そのためには弟さんや妹さんにも
576000	577000	財産の受け取りは
577000	579000	貯まってもらって全額自分にほしい
579000	581000	なるほどよく分かりました
581000	583000	弟さんや妹さんはご家庭お持ちなんですか
583000	586000	別に伝えるようだったらお話しされなくていいんですけど
586000	588000	まあ家庭を持てるっていうことだけは言ってるの
588000	590000	これ以外は喋れません
590000	591000	いいですいいです
