start	end	text
0	2800	どうも、みんなはアンマイドPSOだわ
2800	4300	俺、本当にさ、今辛いんだよ
4300	5400	本当に辛いんだよ、今
5400	8000	これ以上追い詰めると、どうにかならぐらい辛いんだよ
8000	9200	俺を追い詰めたくないんだよ
9200	11200	彼は自分を追い詰めたくないし
11200	14500	俺、できることなら幸せになりたいと思う
14500	17200	みんな、俺さ、できることなら幸せになりたい
17200	19000	できることなら幸せになりたい
19000	21200	幸せで生きられるなんて言いたいけど
21200	23700	これ、これでフォーラムをずっと続くんだったら
23700	25100	もう限界だから
25100	27600	俺がさ、このまま同じ生活を
27600	30100	1年、2年、3年とか続けるんだったら
30100	31100	もう限界だよ
31100	32100	彼女もできずに
32100	33100	もう限界だよ
33100	34400	そういうのになったら
34400	35600	もう20年だよ
35600	37100	もう限界がきてるんだよ
37100	39200	なんかさ、自称行為とかしたら
39200	40900	自分のこと殴ったり、蹴ったり
40900	43400	こうやって自分でパーンってほっぺた叩いたり
43400	44700	なんかあざもできるんだよ
44700	45600	ここ、あざ
45600	46900	自分で叩いちゃうんだよ
46900	47800	なんか、ちょっと待って
47800	49600	自分で叩いちゃうんだよ、なんか
51200	53000	これ、どれだけ前に寄せるような
53000	54000	今でどうするか分かる?
54000	55800	前に、前に、どれだけ寄しながら
55800	57100	耐えてるかと分かる?
57100	58900	今から親に電話するから
58900	60400	ミュートするね
60400	61500	親に電話するから
61500	62900	もう出ないじゃん
62900	64000	出ないじゃん
64000	65200	出ないじゃん
65200	66200	出ないじゃん
66200	66800	もうダメだ
66800	68800	別に、俺が死んでも悲しまないよね
68800	71200	親と俺が死んでも別に悲しまないよね
71200	72800	親と俺が死んで悲しむ?
72800	74000	俺が死んで悲しむ?
74000	75300	何もかも限界だわ
75300	76100	彼女もできないし
76100	76900	彼女もできないし
76900	78200	何もかも限界だわ
78200	79200	彼女もできないし
79200	80600	何もかも限界だし
80600	82300	俺は楽しかったり、痛いんで
82300	84700	一人一人で、友人を愛、君宛で過ごせれば
84700	85600	それだけで良かったんだ
85600	86500	そういうのもできないでよ
86500	87700	あと、ともひろとか
87700	88800	それを押して、秋葉原で
88800	89900	ああいう事件を起こしたんで
89900	91500	俺はそういう事件を起こさせないけど
91500	93700	安倍首相を三段中で殺して
93700	95200	表兄を火で炙って
95200	96100	何十人も殺して
96100	97300	そういう弱者たちが
97300	98600	今、社会に火が燃えるんだ
98600	99100	分かるか?
99100	100100	これから、こういうことは
100100	101600	ますます凝ってくると思う
101600	103100	これから、一番怖いのが
103100	104500	俺たち、氷河期世帯
104500	105500	ロスジェネレーション
105500	106400	そういう奴らで
106400	108400	もうこんな人生、意味がないと思って
108400	109200	ぶち切れて
109200	110700	社会に対して害をなすや
110700	111600	絶対に増えてくる
111600	112400	予告する
112400	113600	俺は、俺はだよ
113600	116700	もし、自分が死ぬたいとか思ったとする
116700	119000	そしたら、今まで俺を敷いてあげてた
119000	120200	奴ら全員に会いに
120200	121600	自分に殺したいとかしない
121600	123000	ただ、俺はこれから
123000	123900	死ぬような話に
123900	124700	お前らのせいで
124700	126200	俺の人生は台無しになる
126200	127600	まあ、そういうことはないと思うけどね
127600	128800	まあ、今のは嘘だけど
128800	129100	冗談
129100	129400	冗談
129400	129700	冗談
129700	130100	冗談
130100	130600	冗談で
130600	132800	なんか、自分の人生が惨めでならない
132800	133700	彼女もできない
133700	134800	まあ、できないだろうけど
134800	136100	彼女もできないんだよ、俺
136100	136900	で、死ぬのか
136900	138500	このまんま彼女ができずに
138600	140000	10歳とかになったのかなら
140000	141200	何のために生んだろう?
141200	142400	何のために生うと思う?
142400	144000	これは何のために生んだと思う?
148000	149300	あの頃の俺に会いに
149300	151200	君は45歳ぐらいで
151200	152700	幸せになれるようにあげたか
152700	154300	それで勇気づけてあげたか
158300	159500	タイムリープで言うなら
159500	161100	でも今、タイリムリープしたとこで
161100	162200	何もならないから
162200	164200	俺が今、もしタイリムリープして
164200	165100	12歳になったら
165100	165600	と思って
165600	166800	オギャラの頭を
166800	167600	勝ち殴る
167600	168400	タイムリープで
168400	169900	昔の俺はできなかった
169900	170800	今の俺なで
170800	171700	今の俺なで
171700	172700	今の俺なら
172700	173700	S先輩にも
173700	174600	ぶん殴りかかる
174600	176100	S先輩が俺のことを
176100	176900	掃除を無視して
176900	177800	それで自分で
177800	179100	この手を吐き始めたら
179100	180400	汗いことしてんじゃねえよ
180400	181100	てめえっていう
181100	182100	言いたいことがあるなら
182100	183300	死でいいや、このクズは
183300	184900	それでジムの女にも
184900	186000	だったら俺はもう
186000	187200	掃除はしないぞっていう
187200	188700	ゴミ袋を一回まで変え
188700	190000	ゴミ袋はただじゃないんです
190000	190300	と、一回
190300	191900	だったら俺は掃除なんかしねえよ
192900	193800	無愛性なの
193800	194700	そういうの強いよね
194700	196500	アニメ業界で雇ってやったんだから
196500	197800	ありがたいと思えみたいな
197800	198400	スタンスなんだよ
198400	199000	ねえ、ありが
199000	200500	ありがたいとなんて思わない
200500	201600	いがたいなんて思わない
201600	203100	大泉学園の坊主よ
203100	204300	大泉学園の
205800	206700	だから楽しいこと
206700	207500	俺さ、今さ
207500	208100	不安の人
208100	208700	会おうか
208700	209400	会う前か
209400	210500	話になってるんだけど
210500	211300	でも僕が
211300	212200	Twitterフォローしたのに
212200	213400	フォロバしてくれなかったら
213400	214100	いじけて
214100	214700	もういいやってな
214700	215500	女の不安の人
215500	216100	トラブルしもったけど
216100	216700	トラブルしていい?
216700	217400	不安の人
217400	217900	トラブルしていい?
218800	220000	好きでもなんでもないけど
220000	221000	俺が好きなのは
221000	222200	変わらないと思うから
222200	223000	もうあの女に
223000	223500	隠して
223500	224200	好きでもないのに
224200	225200	こう隠し合おうって言って
225200	226900	それでなんとなく付き合えばいいか
226900	228300	なんとなくやればいいか
230300	232000	でも遠距離恋愛になるんだよ
232000	233700	遠距離恋愛は辛いしな
240500	242300	なんか疲れてしまった僕は
245500	246700	僕は疲れた
247900	248900	疲れた
251100	253100	別に付き合うって言ったって
253100	255100	セックスするわけじゃないんだしさ
255900	256900	俺は
256900	257400	あのね
257400	258100	決めてるの
258100	259100	なんかもう
260000	261600	よっぽど愛した女じゃないと
261600	262600	しない
264700	265400	結局
265400	267000	彼女の方が求めてくるなら
