start	end	text
0	3000	ちょっと髪の毛整えるね
3000	6000	おはよう
6000	9000	ワコツいらっしゃい
9000	11000	この時間ダメかな
11000	13000	でもどうしてもなんかさ
13000	18000	寂しくて配信したくなっちゃった
18000	19000	おはよう
19000	21000	ヒヨコいっぱいありがとう
21000	23000	タヌキ理解した
23000	27000	これからはタヌキでやってく
27000	31000	だってみんながタヌキつけろって言うんだもん
37000	39000	おじいちゃんも寝る時間でしょ
39000	42000	いや、今起きたとこ
43000	46000	僕さ
49000	52000	僕ね
53000	56000	僕ね
56000	59000	みんなに行っていいかな
61000	64000	僕ね
70000	74000	あ、カミネ誘引さんいらっしゃい
74000	77000	おはよう
78000	82000	あ、ヒヨコいっぱいありがとう
82000	87000	僕なんかイベントで1位になって2000ポイントもらった
87000	92000	イベントで1位になって2000ポイントもらいました
92000	95000	パンツゲーはやりません
97000	102000	これから、あ、カミネ先生来てくれたね
108000	112000	一晩寝たからリセット
112000	115000	寝たら大抵リセットされちゃうよね
115000	118000	あ、なんか来た
118000	122000	ハロウィンの何とか、何とか来た
122000	125000	ありがとう
127000	129000	ありがとう
129000	131000	ニコ生と違って猫かぶってる
131000	134000	いや、別にかぶってないよ、全然
134000	137000	全然かぶってないよ
139000	142000	ヒヨコありがとう
144000	146000	兄様おはよう
146000	149000	うつは治ってないけど
149000	152000	でもありがたいよ
154000	157000	僕さ
157000	161000	幸せになってほしい人がいるんだ
164000	168000	幸せになってほしい人がいるんだ
189000	193000	まあ、金像としておこう
194000	197000	僕さ
197000	201000	幸せになってほしい人いるんだ
201000	206000	その人がどうやったら幸せになれるかってずっと考えてた
210000	217000	その人がどうやったら幸せになれるかっていうことをずっとずっと考えてた
223000	225000	ちょっと
225000	228000	耳かきしていい?
229000	231000	僕
231000	233000	幸せになってほしい人がいる
233000	235000	なんかさ
235000	239000	好きとか恋とかそういうんじゃなくて
239000	245000	この人は絶対幸せになってほしいっていう人がいるの
247000	250000	それ配信で言う意味あります?別にいいじゃん
250000	254000	俺の配信だから何言ったって自由じゃん
257000	261000	幸せになってほしい人がいる
281000	284000	なんか自分の命よりも
284000	288000	大切な命ってあるよね
288000	290000	自分がさ
290000	294000	の命よりも大切な命ってあるよね
295000	298000	評価ありがとう
298000	302000	なんかその人がさ苦しんでるとさ
302000	304000	僕も苦しいし
304000	309000	その人が笑ってくれてると僕も笑顔になれるし
312000	315000	なんかそんな人
317000	320000	髪の毛決まんないなって
320000	323000	髪の毛決まんないなって
323000	326000	髪の毛決まんないな
326000	329000	なんかそういう人
330000	332000	分かる?
333000	336000	恋とかそういうレベルじゃなくて
336000	341000	別にその人と付き合いたいとかそういうんじゃなくて
342000	345000	あるよねそういうこと
346000	349000	陰ながら応援したいっていう
349000	352000	陰ながら応援したいっていう
355000	358000	陰ながら応援したいっていう
361000	364000	誰かを言わないけど
373000	376000	宝金像に恋してるのかな僕
377000	380000	宝金像に恋してるのかな
381000	384000	その人を宝金像と仮定する
386000	389000	その人を宝金像と仮定する
393000	395000	実際会ったことはない
