start	end	text
0	1840	あー、今日、今日ね、髪の毛だ。
1840	2340	どう?
2340	5480	髪の毛、なんかさ、2週間に1回ぐらい髪切らないと、
5480	8720	その、自己肯定感が上がらないことに気がついたのだ。
8720	11520	2週間に1回だ、2週間に1回だよ。
11520	15400	2週間に1回、髪切らないと、自己肯定感が上がらない。
15400	16360	1回過ぎだよね。
16360	18240	ということは、まぁ、1万円ぐらいか。
18240	22400	一気に1万円ぐらい、散髪費にお金をかけなきゃいけないことになる。
22400	25720	ただ、ただ、そうじゃないと、自己肯定感上がらないんだもん。
25720	28480	今日、今僕、さっきご飯食べて、髪がいて、
29000	31720	導入剤を飲んだから、そろそろ眠くなるけど、
31720	32720	そろそろ本題、
32720	33360	俺さ、
33360	34520	気、気合おうと思ってる。
34520	35280	なんでやるやん。
35280	36280	気合おうと思ってる。
36280	38800	相手がイ、イ、イ、嫌も嫌も、
38800	41280	イ、イ、嫌よ嫌のも昨日が言うじゃん。
41280	42880	ほんとに、ほんとに嫌われてたら、
42880	44040	ライ、ラインしられないよ。
44040	45920	今日もラインでやれ、やりとりします。
45920	47280	ラブ、ラブなラインで。
47280	50400	ラ、ラブが、収入されたラインをやりとります。
50400	51120	ただ、なんかもう、
51120	51920	いいんだ、結局、
51920	54840	まぁ、相手のラインは読まないけど、自分のラインは読む。
54840	57680	相手はラインさらされるの嫌、嫌な、嫌だから、
57680	58480	おはよう。
58480	59600	昨日はわがままい。
59600	60040	ごめん。
60040	62080	でも、桜さんとお付き合いしたい気持ちは、
62080	63200	本当にあるんだ。
63200	64120	お仕事頑張って。
64120	65760	急にと思うかもしれないけど、
65760	68120	最初はひめぼれで一緒に過ごすうちに、
68120	69160	どんどん気になった。
69160	70240	で、気になったのは、
70240	74200	カラオケで僕のこと大切に思ってくれてると言ってくれたくて、
74200	75640	それで完全に恋のうちで、
75640	77680	これで、桜さんから返信して、
77680	78720	付き合うとか、付き合うとか、
78720	80800	距離感め、距離感め、進めすぎちゃった。
80840	82240	また遊んだりしようね。
82240	84440	恋人とかはまだまだ思えないよね。
84440	87800	でも僕はそう思っている心の片隅に置いてくれたら嬉しい。
87800	90400	パーセント僕を異性と見るのは難しそう。
90400	92120	もしそうなら早いうちにいてほしい。
92120	93800	このように、ラインをしました。
93800	95560	僕は、不覚してるんだよ。
95560	96880	ブラジーさん、仕事はかな?
96880	99400	ロ、ロレザーま、回ってないのは今、
99400	102400	花の地をして、あの、花並びがおかしくなってるから、
102400	104520	あの、か、借り場、借り場がどぞって、
104520	107000	借り場4分ぐらいですごい出にくいから、
107000	108360	ライン、ライン通わせみよ。
108360	108800	あれ、パグ。
109800	113200	もしもし、あの、また例によって、
113200	116400	また配信中なんですけど、
116400	117280	いや、電車。
117280	119480	いや、電車、分かったけど。
119480	120360	電車。
120360	122320	またおられますかね?
122320	126120	あの、あの、あの、
126120	129480	僕の、僕の、僕のライン送って、
129480	131160	既読になってなくて、
131160	132440	寝てたんです。
132440	133080	それで、
133080	134320	お前さん、寝てたんです。
134320	137160	ツイッターにもアピール、アピール文書を書いて、
137160	138480	でも、返事がないから、
138480	140120	あの、ちなみに、
140120	143000	ちなみに、僕のこと恋愛対象として見れる?
143000	144160	また、
144160	145640	まあ、まあ、それってさ、
145640	147200	ごめん、どうなっていいよ。
147200	150040	だって、友達、友達とか俺、いらない。
150040	150960	あ、いらんの?
153320	155280	と、友達じゃないでしょ。
155280	157600	いや、そんな私のこと、あの、
157600	159760	女、女みたいな、店で、
159760	161280	見なくて大丈夫だよ。
161280	162560	いや、大丈夫じゃなくて、
162560	163800	いや、ほんとに。
163800	165240	見ちゃうんだよ。
165280	167400	いや、大丈夫?マジで。
167400	168400	いや、
168400	169880	おはようございます。
169880	170680	あの、
170680	172280	み、見てほ、見てほしいよ。
172280	172840	何を?
172840	175320	僕を、僕を男として。
175320	176960	え、もう、どうすればいいんだ。
176960	178120	コメントとかは嫌だよね。
178120	179400	え、な、何で嫌だって?
179400	180360	コメントとか、
180360	181160	嫌な。
181160	182080	そういう、
182080	184000	関連押し出すみたいな、
184000	185040	うわ、いいよ。
185040	186760	え、さっきまで配信してた?
186760	188360	いや、今配信してる。
188360	188960	きたんだ。
188960	189400	頑張って。
189400	189960	あの、
189960	192160	もう100%ありえないの。
192160	193360	だから、
193360	195040	動画会議過ぎて、
195040	196560	まだ仲良くあれば考える。
196560	197760	いや、それじゃもう、
197760	198640	遅いんだよ。
198640	199440	なんでよ。
199440	201400	物事にはタイミングっていうのがあって、
201400	203280	節は暑いうちに打てていて、
203280	204560	節は暑いうちに打てて、
204560	205840	核減しっかり、
205840	206840	分かんないけど、
206840	208000	恋が始まったら、
208000	209680	すぐさまアプローチして、
209680	211400	くどいたり、
211400	213160	誘惑とかしたり、
213160	214160	不覚とかしたり、
214160	215320	しないといけないんだよ。
215320	216080	誰がそんなこと言ってるんだよ。
216080	217960	それは世間一般の常識。
217960	218920	常識なんでしょ?
218920	220360	常識に囚わるなんていいんだよ。
220360	221520	自分が自分で、
221520	222640	生きていくのが、
223600	224120	分かる?
224120	225000	だから、そんな、
225000	226000	今でも、
