start	end	text
0	2760	これからファッチでNGぶっ込んでくね
2760	3660	こんにちは ありがとう
3660	6500	まぁこれからはまぁ小じきやしないようにしようかな
6500	9140	まぁこれからもしてない 以前もしてないけどね
9140	11140	そういうわけで あぁヒヨコいっぱいありがと
11140	11940	みんなありがとな
11940	12440	てんきゅう
12440	12940	てんきゅう
12940	14940	にんちゃんこんにちは はいこんにちは
15380	16180	まぁスイッキャスター
16180	18180	あのーファッチではNG入れないわ
18180	19780	ファッチではNG入れません
19780	21220	お腹すいたな なんか
21220	23620	で 出前勘ギフトとか頼もうかな
23620	25020	でま い ギフトじゃない
25020	26420	出前勘頼もうかな
26420	28180	出前勘とか頼んじゃおうかな
28180	29100	お腹すいたし
29100	30180	メガホンありがと
30180	31700	ヒューマンビートボックスきません
31700	32540	あれは嘘です
32540	34660	あ ハンバーガーじゃなかった
34660	35460	ただのヒヨコだ
35460	36100	騙された
36100	36980	こんにちは
36980	37860	コラボやって
37860	38860	誰かいないかな
38860	40380	コラボしたい相手を探す
40380	42740	今リクエストできる人がいないって出た
42740	44300	コラボしてくれない誰も
44300	45780	なんかお腹すいたよ
45780	47060	お腹すいたけど
47060	49260	なんかチルド食品を食べる気しない
49260	51380	これからは僕の配信を
51380	53140	録画するのは禁止ですからね
53140	54460	コメント読んでくれてるよ
54460	55340	いいねありがとう
55340	56140	コボチャンネルも
56140	56820	あ もう
56820	58700	YouTubeもニコ道も
58700	60100	僕の配信を
60100	62060	天才するのは禁止としました
62060	63300	それで もし
63300	63860	やる
63860	65260	それでもやるようなら
65260	66700	削除由来出していきます
66700	68180	削除由来出していきます
68180	69940	ちょっと待って 今ブロックしてるから
69940	71500	ちょっと待って 今ブロックしてるから
71500	72420	流さないで
72420	73300	コメント打たないで
73900	75020	ブロックが追いつかないから
75020	76740	ブロックが追いつかないから
76740	77660	コメント打たないで
77660	78620	今だけは
78620	80060	ブロックが追いつかないから
80540	81340	バズらん
81340	82460	ブロックが追いつかない
82460	83860	ブロックが追いつかない
84180	85020	やめて
85020	86100	ブロック追いつかないから
86100	86740	やめて
87540	88740	なんでこういうときだけさ
88740	89900	連携してやるの
91340	91900	なんか
91900	93300	ふわっちもいやんなってきた
93300	94140	ふわっちも
94140	95060	いやんなってきた
95700	96500	ハロウィン
96500	97220	ありがとう
97220	97960	頑張ってね
97960	98980	頑張ります
98980	99660	ハロウィン
99660	100300	ありがとう
100300	100860	頑張ってね
100860	101580	頑張ります
101580	102900	ハロウィン
102900	104120	ハロウィン
104120	105120	おなかすいた
105120	106200	おなかすきました
106200	107320	ちょっとまで
107320	109540	いろいろブロックしなきゃいけないからねこっちも
109540	111780	なんかおなかすいてないけど
111780	113460	なんかごはん食べたくなってきた
113460	115740	おなかすいてないけどadd muchos
115740	117540	なんか頼んじゃおっかな
117540	119960	フォロワーランキング 非公開にしてるってどういうこと?
119960	121140	フォロワーランキングで
121140	123640	フォロワーランキング非公開にしてるってどういうこと?
123640	125920	フォロワーランキング非公開ってどういうこと?
125920	128080	もっとわかりやすく言ってくれよ頼むから
128080	129200	来らないで vez
129200	131200	こういうやつも全部NG含んでから
131200	133200	こういう荒れもない子というやつは含んでから
133200	134200	この人怖いわ
134200	135200	いや僕怖くないよ
135200	136200	忍ちゃんだよ
136200	138200	みんなの優しい忍ちゃんだよ
138200	139200	だよ忍ちゃんだよ
139200	140200	区名はつけません
140200	142200	みんなの可愛い忍ちゃんだよ
142200	144200	笑顔の似合う忍ちゃんだよ
144200	145200	風船ありがとう
145200	146200	歯綺麗だよ
146200	148200	歯に380万かけてるからね
148200	151200	あの強制治療とあのセラミック治療で
151200	152200	380万
152200	155200	380万かけてるからね歯には
155200	157200	だからめちゃくちゃ歯磨き時間かかる
157200	158200	時間かけ
158200	161200	もう1回歯磨きするのに30分くらいかけてる
161200	163200	ニコ生うざいから戻らない
163200	165200	これからは僕はふわっちで頑張っていくから
165200	168200	みんな楽しんでよ僕のふわっち配信
168200	169200	ヒヨコありがとう
169200	171200	僕もね色々大変なんだよ
171200	172200	アンチとかいで
172200	174200	アンチとか色々いて大変なんだよ
174200	176200	だからせめてこのふわっちでは
176200	177200	アンチとかしないでね
177200	179200	アンチコメントとかしないでね
179200	180200	僕は怖くないよ
180200	183200	なんか嫌味なコメントするやつは全部NGしてくね
183200	184200	悪いけど
184200	186200	嫌味なコメントはNGね
186200	187200	俺親と一緒に
187200	189200	ご飯食べに行きたいな
189200	190200	親と一緒にご飯
190200	200200	なんか寂しい
213200	215200	鬱が治りました
215200	218000	やっぱりギフトが来るとウツが治るわ
218000	220200	ギフトが飛ぶとウツが治る
220200	222400	あ、な、なんかキャ、キャンディありがとう
222400	223900	ウツが治りました
223900	225000	ウツ!治った!
225000	226300	まだ治ってないんだよね
226300	229000	完全には治、完全には治ってないウツは
229000	230800	つまらんっていう人は見ないでいいよ
230800	233200	僕の配信は僕のことが大好きで
233200	235600	僕のことが可愛いと思って僕のこと囲て
235600	238200	それでニンチャン可愛い可愛い大好きだよって
238200	240500	毎日言ってくれる人だけ見てくれよな
240500	241200	よくありがとう
241200	242700	あ、なんかステッキありがとう
242700	244800	あ、なんか来たハロウィンキャンディありがとう
245000	246300	大好きだよありがとう
246300	248800	ギフト投げてくれる人は僕の神
248800	250800	ギフト投げてくれる人は僕の神
250800	251700	よくありがとう
251700	254100	今まで嫌な人はみんなブロックしようと
254100	256000	嫌な人はみんなブロックしようと
256000	259400	ね、そ、そ、そっちのがさ精神衛生上いいからいいよね
259400	260600	嫌な人はみんなブロック
260600	261100	いりません
261100	263800	ニンチャンの配信に嫌な人間はいりません
263800	265200	ブロック!スーパーブロック!
265200	266100	今いくらかな
266100	267500	161ポイントです
267500	268100	ありがとう
268100	271200	に、ニンチャンの配信に嫌な人間はいりません
271200	273700	彼のことばかりっていう人もブロックします
273700	274400	ブロックします
274400	276200	あ、バーガーありがとう
276200	276800	バーガー
276800	277500	モグモグ
277500	278400	グッジョッパありがとう
278400	280700	ギフトに全員お礼言えるわけじゃないから
280700	282000	見えてないからねこっちは
282000	282900	流れが早くて
282900	284700	もうギフトしませんとか
284700	287300	お礼まだとかさそういう、そういうこと言うの
287300	287800	予想?
287800	289100	俺、俺の配信では
289100	290400	あ、猫ありがとう
290400	291700	サイリウム猫ちゃん
291700	293300	ニャンニャンニャンニャン
293300	294600	ニーハオニャン
294600	295700	バーガーポテトありがとう
295700	296700	あ、ニャンニャンク
