start	end	text
0	3000	自撮り棒で配信をします
8000	10000	これ横向きとかできないのかな
10000	12000	ちょっと待って
15000	17000	こうしたのかな
19000	21000	あれ画面が
23000	25000	縦画面になっちゃった
30000	32000	こういうのかな
37000	39000	バーチャル背景
47000	49000	自動延長
52000	54000	画質設定
54000	56000	これどうやってさ横画面にするの
60000	62000	これさ横画面にするのってどうやってやるの
64000	66000	みんな
66000	68000	横画面ってどうやってやるの
76000	78000	横画面ってどうやってやるの
79000	81000	じゃあ一回切る
84000	86000	やるね
93000	95000	どうも
105000	107000	どうもこんにちは
107000	109000	ちょっと
110000	112000	スマホ配信してみた
112000	114000	ふわっちで
114000	116000	スマホ配信
118000	120000	画面は横画面にできた
122000	124000	しみ
124000	126000	しみ目立つ
133000	135000	しみ目立つ
135000	137000	しみ目立つ
139000	141000	だって引きとかできないもん
141000	143000	これ
143000	145000	こんな感じしかできないもん
147000	149000	こんな感じでいい
165000	167000	メガネフルエイムは
167000	169000	セルロイドですか
169000	171000	プラスチックです
171000	173000	嫌なコメントしないで
173000	175000	ちょっと
177000	179000	ブロックするから
181000	183000	なんか関係ない
183000	185000	コメントとか嫌なコメントとかすると
185000	187000	ブロックするんで
187000	189000	その点はご注意ください
189000	191000	今日は何してるの
191000	193000	今日結局何もしなかった
193000	195000	ただ配信やってるだけで終わった
199000	201000	ただ配信やってるだけで終わった
201000	203000	イヤホンマイク買ってない
207000	209000	今日は何もしなかった
209000	211000	ご飯は
211000	213000	チルドの
213000	215000	チルドの
215000	217000	チルドの
217000	219000	ご飯はチルドの
219000	221000	ハンバーグ食べた
223000	225000	素敵な一密ですね
229000	231000	マックは頼まなかったお金がないから
237000	239000	なんか嫌だな
241000	243000	嫌なコメントがいっぱい来る
247000	249000	みんな楽しいコメントしよう
249000	251000	楽しくいこうよ
255000	257000	楽しい
259000	261000	こと話そう
263000	265000	何話す
267000	269000	なんかみんながお題決めていいよ
273000	275000	記憶あるよ
277000	279000	なんか
285000	287000	なんかダメだもう
287000	289000	もうダメだ
289000	291000	嫌なコメントがよく来る
293000	295000	嫌なコメントが来る
301000	303000	もう全部NGする
303000	305000	ちょっと待って
305000	307000	嫌なコメントしないで
309000	311000	やめろ
311000	313000	みんないじめる
313000	315000	やっぱりもうダメだ
317000	319000	もうダメだ
321000	323000	もうダメだ楽しくやろうと思ったのにもうできない
325000	327000	楽しくやろうと思ったのにもうできない
335000	337000	こういうコメントってさ
337000	339000	運営は対応してくれないの
339000	341000	運営は
341000	343000	対応してくれないの
343000	345000	嵐コメント
