start	end	text
0	2000	こんにちは!
2000	4000	今日はココアドレッシュを作ってみました。
4000	6000	ココアドレッシュを作る方法は、
6000	8000	1日に1本のケーキを作ることです。
8000	10000	スパイシーなケーキを作ります。
10000	12000	卵が溶けたら、
12000	14000	1個ずつ入れて
14000	16000	3個ずつ入れます。
16000	18000	卵が溶けたら、
18000	20000	1個ずつ入れて
20000	22000	2個ずつ入れます。
22000	24000	卵が溶けたら、
24000	26000	1個ずつ入れます。
26000	28000	卵が溶けたら、
28000	38820	どうもおはようございます
38820	49060	まあこういうことを配信で言おうか言わないか迷ったけど
49060	55820	もうちょっとさすがに成仏させないとなと思って
55820	59700	ちょっとこういう枠を取りました
59700	62920	ちなみにこの枠は動画化禁止です
62920	66640	もし動画化したら削除依頼出します
66640	71040	もし動画化したら削除依頼出します
71040	75680	この配信に関しては動画化禁止です
79060	83000	この配信に関しては動画化禁止ということでお願いします
83000	94060	ちょっと自分としても
94060	97680	なんかもう
97680	99160	僕
99160	105660	1年半ぐらい前に
105660	108160	ちょっとだけ付き合った人がいたんですよ
108160	109960	で
109960	111160	で
113000	115060	1年半前に付き合った人がいて
115060	116960	その人とは
116960	118240	まあ
118240	123920	デート2回しただけで振られてしまって終わったんですけど
123920	128220	で
128220	130700	振られた理由も
130700	133860	よくわからなくて
133860	136960	で
136960	139360	それで僕と別れた
139360	140220	もう
140220	140860	瞬間ぐらいから
140860	142140	僕と別れた瞬間ぐらいから
142140	142980	瞬間ぐらいから
143000	145060	別の人と付き合いだして
145060	154980	僕と別れた瞬間ぐらいから
154980	156760	次の人と付き合いだして
156760	159320	なんだろうこれと思ってたんだけど
159320	161000	ずっと言えなくて
161740	164480	それで
164480	166240	なんか
166240	170720	僕と付き合っている期間に
170720	172920	その
173000	177900	付き合った配信者の方に対して
177900	181440	私は彼に認知されてたんだ
181440	184240	嬉しいみたいなツイートをしてて
184240	186640	僕はそれもモヤっとして
186640	189960	で
189960	191120	まあ
191120	194340	僕もそのことでずっと
194340	197000	心に引っかかってたものがあったから
197000	200080	なんかずっと
200080	202980	思い続けてたところがあったので
203000	212000	でも
212000	215480	もうやめようと思って
215480	222460	でもそれは
222460	223300	なんかすごい
223300	226020	僕は当時はすごくショックで
226020	230860	当時はすごいショックで
233000	241960	ずっと忘れられなかったんだけど
241960	246620	それがもう忘れようと思って
246620	251200	人から粘着されるのってすごく嫌な気持ちするっていうのは
251200	254660	僕も昨日わかったから
254660	259380	人から粘着されることってすごい嫌なことなんだなって
259380	269480	だから僕も付き合ってた人のことを言ったり
269480	272920	僕はあそこまでしつこくはしないけど
272920	275760	でも
275760	282880	会って謝りたいだとか
282880	288620	いろいろ言ってしまったことに対してはすごく良くないことだし
288620	288880	だから
289380	294180	でも僕としてもさっき言ったように
294180	296020	そういうモヤモヤがあったから
296020	298460	忘れられなくて成仏
298460	303240	自分の中の気持ちを成仏させることができなくて
303240	305440	でも
305440	312480	昨日そういうのが一気に弾け飛んだっていうか
318340	318820	そういうのが一気に弾け飛んだっていうか
318820	319360	そういうのが一気に弾け飛んだっていうか
319360	331700	に弾け飛んだっていうかなんか もう僕としてはなんかひどい振られ
331700	343660	方をしたなと思ってるんだよ僕の 気持ちとか無視されてかぶって
343660	347940	なかったから付き合ってる期間 がかぶってなかったから問題ない
347940	364520	とか言われたりするのも当時は すごくショックだったし
364520	370720	だからそれで僕が忘れられなく なっちゃったっていうのもある
370720	377240	僕はまだ好きだったのに振られて すぐ
377240	377920	別の相手と付き合ってくるっていう のもあるし僕はまだ好きだったのに振られてすぐ別の相手と付き合ってくる
377920	382140	出したっていうのが
382140	391500	でももうそれに関してはもうなんか どうでもよくなったというか
391500	395380	今更言っても仕方ないなってそれ だけなんですけど
407920	422140	だからもう僕はこれを持ってその 人のことを話題にするのもやめ
422140	432140	ようって思って
432140	433640	ナナシさんギフトありがとうございます
437920	440320	だから僕が
440320	442960	僕が
442960	447500	なんか一方的に粘着してるみたい に思われるけど
447500	451880	それにはそういう事情があった っていうことは
451880	455020	まあ言っておきたいかなと思って
461020	464220	そういう事情があったってこと だけは言っておきたいかなと思って
464220	467900	そういう事情があったってこと だけは言っておきたいかなと思って
467920	472840	でももう
472840	477220	これで終わりにする
477220	483720	これでも終わりにする
493900	496320	でも僕もそういう目にあったし
496320	498080	僕と別れ
498080	501220	振られた後すぐ別の日
501220	504860	すぐさま別の人に行ったっていうのも
504860	507080	なんか当時は悲しかったっていうのも
507080	510700	ちゃんと行っておきたかったし
522260	523060	当時は
523060	523900	当時は
523900	525900	当時は
526320	530320	僕もよくわからなくて
530320	541920	なんかわかんなくて
541920	546880	自分がただ不甲斐ないばっかりに
546880	548740	振られたの
548740	550320	というか
550320	552200	なんか
552200	556140	その別の人が好きになっちゃったから
556140	556300	だから
556320	558320	振られたのかなって
558320	559320	ずっと
559320	561880	もやもやするものがあって
561880	566320	でも
566320	572520	もうさすがに
572520	576460	もう一年半も経つし
576460	582180	もう成仏させてあげないとな
582180	583700	この気持ちにって思って
586320	589140	自分が戦ったぞ
589140	590240	beef
590240	591700	っていう
591700	592500	こういった
592500	593880	ちょっと
593880	594860	そういう
594860	596220	例えば
596220	597380	芸能界だっけ
597380	597960	人と出会う
597960	598980	そういう
598980	600440	過言葉とか
600440	601340	その
601340	603500	大 inviting
603500	604720	80 s
604720	605820	uestos
605820	607120	して
607120	608160	本当に
608160	608940	なんか
608940	610220	知らない
610220	611360	今
611360	611980	その
611980	613080	よく
613080	614320	見た
614320	615320	多くの Angasm
615320	616320	Everything is about life.
616320	623660	なんかなんでこんなこと
623660	626340	1年半もさ
626340	628780	時間を無駄にしちゃったんだろうって
638360	640200	1年半も無駄にしちゃってさ
640200	640980	時間を
640980	651780	なんかもうそんな自分も嫌でさ
651780	667020	もう終わったことだけど
670620	670940	なんか
670940	670960	なんか
670960	672900	僕が
672900	676640	僕だと
676640	678980	あんまり被害者ぶることもしたくないけど
678980	692360	そういう事情があったんだよ
692360	703040	その後さ
703040	705920	その後も好きだったから
705920	707820	友達みたいに接してたけど
707820	711120	でも僕は嫉妬とかして
711120	711140	嫉妬とかして
711140	722320	嫉妬とかして
722320	728800	なんか嫉妬とかしちゃって
728800	733900	なんかもう全部さ
733900	738800	もうこの1年半すごく苦しかった
738800	742260	ご飯も食べなくなって
742260	744080	急激に痩せちゃって
744080	748560	1日1食ぐらいしか食べられなくて
748560	750560	お腹が空かなくて
750560	752280	お腹が空かなくて
752280	767300	だから
767300	770700	それって僕は
770700	778140	僕のことは
778140	781220	他に好きな人ができたから
781220	782240	僕は
782240	789260	別れられたっていうふうに思ってて
789260	804260	でももうさ
804260	807260	もうこのことはもう気にしないようにしようって
807260	810260	だって自分よりずっと年下だし
810260	811260	別にさ
811260	811360	僕のことはもう気にしないようにしようってだって自分よりずっと年下だし
811360	812200	別にさ
812200	819300	僕がそういう扱い受けるのも当然なのかなって
819300	825500	別にこういう扱い受けるの
825500	825980	別にこういう扱い受けるの
825980	837660	別にこういう扱い受けるの
837660	841120	当然なのかなって
841120	841340	当然なのかなって
841340	841500	当然なのかなって
841500	841540	当然なのかなって
841540	841600	当然なのかなって
841600	841880	当然なのかなって
842040	842060	当然なのかなって
842060	858880	だから当時言えなかったこと
858880	860160	もう最後だから
860160	862080	今言ってる
862080	865700	当時納得できなかったこととか
865700	868080	僕はどんな気持ちで
868080	869280	それを見てたかとか
872060	889620	だからさ
889620	891340	僕はさ
891340	898540	別に
898540	900200	友達でもいいから
900200	901100	そばにいたいとか
901100	902040	ずっと思ってたけど
902060	902420	もう
902420	909240	振られたのは
909240	910380	僕は悪いんだって
910380	911180	思ってたけど
911180	918740	突然だったから
918740	930080	でももう
930080	932040	思ってたけど
932040	932060	思ってたけど
932060	932920	思い続けるのも
932920	938120	やめようと思って
938120	941840	僕はさ
941840	950380	でもさ
950380	952280	なんか昨日
952280	954580	佐野ちゃんに会って
954580	956340	佐野ちゃんのこと
956340	957300	いいなって思ってる
957300	961920	自分もいて
961920	962040	なんか昨日佐野ちゃんに会って佐野ちゃんのこといいなって思ってる自分もいて
962060	968720	佐野ちゃんのこといいなって思ってる自分もいて
968720	970700	でも
970700	973580	でも年が違いすぎるから
973580	985800	付き合えたりはしないけど
985800	988380	だからもう
988380	990840	前の彼女とのことは
990840	991840	なんか頭から消そうと思ってたけど
991840	992840	だからもう前の彼女とのことは
992840	993240	なんか頭から消そうと思ってたけど
993240	995940	だからもう前の彼女とのことは
995940	997720	もう十分苦しんだし
997720	1000480	自分も
1000480	1002860	相手の人も苦しませちゃったことも
1002860	1004380	あったかもしれないけど
1004380	1005540	それは
1005540	1009100	なんか
1009100	1014460	僕と別れた後
1014460	1016760	すぐ別の人と付き合ったとかさ
1016760	1020460	なんか納得できないこともあったけど
1020460	1021400	でももういいやん
1021400	1021820	僕と別れた後すぐ別の人と付き合ったとかさ
1021820	1025600	まあ今日は難しいなと思って
1025600	1028540	そんなこと 囲ることだし
1028540	1030000	当時は全然分かんなくて
1030000	1030460	悲しくて仕方がなくて
1030460	1042500	悲しくて仕方がなかったけど
1042500	1048180	purple
1048180	1049780	赤骨
1049780	1050860	どこの
1050860	1051740	赤骨
1051740	1054040	配信の動画化は認めません
1054040	1057140	動画化したら通報して
1057140	1058280	あの
1058280	1063280	削除依頼出します
1063280	1072420	だから僕はさ
1072420	1074720	こういう風に思ったのも
1074720	1075800	昨日佐野ちゃん
1075800	1080880	のこといいなって思ったからだし
1080880	1085760	でも
1085760	1088460	僕は気持ちが重すぎるから
1088460	1089120	多分
1089120	1092460	もう上手くいかないと思う
1092460	1093800	佐野ちゃんとは
1093800	1096120	彼女もなんか俺のことさ
1096120	1098380	おもちゃにして遊んでるみたいな
1098380	1099340	ところがあるから
1099340	1101900	だから俺はさ
1102080	1102960	そうやってさ
1102960	1104240	おもちゃにされてさ
1104240	1106180	遊ばれることぐらいしか
1106180	1108280	存在意義がないんだと思って
1108280	1109900	だから
1110880	1115840	それしか存在意義がないんだと思って
1115840	1131280	だから
1131280	1137360	僕も
1137360	1140480	嫌いな人間に粘着されるのが
1140480	1140660	どういう風に思うか
1140660	1140680	僕はそれだけで
1140680	1140720	僕はそれだけで
1140720	1140780	僕はそれだけで
1140780	1140860	僕はそれだけで
1140860	1143860	僕はそれだけ嫌だったかってことも知ったけど
1143860	1145200	同時に
1145200	1148640	僕と別れた後すぐ別の
1148640	1152980	人と付き合われたっていうのも
1152980	1154340	すごく傷ついたし
1154340	1156200	当時は
1156200	1162860	なんかすごく
1162860	1166400	なんか最後の
1166400	1168120	お別れ会みたいなのしたの
1168120	1169800	二人で会って
1169800	1170760	それで
1170760	1172760	もう
1172760	1181380	お別れ会みたいなことして
1181380	1185540	それでも
1185540	1192160	今度
1192160	1194840	その人に会うって言われて
1194840	1195760	それで
1200760	1201760	,
1201760	1209440	それで終わったの
1209440	1211200	それで終わった
1211200	1215160	それで全部終わっちゃった
1215160	1218360	それでも僕は友達でいいから
1218360	1220640	そばにいたいとか思っちゃって
1220640	1223440	そういう振られ方してるにも関わらず
1223440	1225820	それくらい好きだったから
1225820	1228560	でももういい加減
1228560	1230560	そういう振られ方してるにも関わらずそれくらい好きだったからでももういい加減
1230760	1231980	結構
1231980	1238580	何か誰はいいというか
1238580	1241260	この声をつくられるから
1241260	1242980	私の話も
1242980	1244500	わからないそもそも
1244500	1245080	ありがとうございます
1245080	1245780	正直
1245780	1246520	ちょっと
1246520	1247840	色々
1247840	1248880	何か
1248880	1249740	もう
1249740	1250380	本当に
1250380	1250880	それの
1250880	1251300	ここもの
1251300	1252100	結局
1252100	1252800	そういう
1252800	1253180	持った
1253180	1253240	4ヶ月
1253240	1254060	3ハント
1254060	1254440	席
1254440	1254820	何やあの
1254820	1255360	7ヶ月
1255360	1255960	Journey
1255960	1256440	거야
1256440	1256920	飛を
1256920	1260380	踏まえた
1260760	1273700	何か当時のことなんか全部思い出したのが辛くてさ
1273700	1281980	自分の中で納得させようって思ってきたけど全然納得できてないし
1281980	1286920	でも今日納得、昨日納得しようと思った
1286920	1295240	そこまで嫌がられてるんだからさ、もうどうしようもないし
1295240	1301880	彼女にとって僕はすごく不快な対象としか思ってない
1301880	1306480	僕が昨日粘着してきた二人に対して不快だって思ったように
1306960	1311700	それと同じ気持ちにさせてたなら本当に申し訳ないと思うし
1311700	1316700	でも僕
1316700	1323560	僕としてはそういうことがあったから忘れられなかったっていうのもあって
1345460	1346660	僕と別れても
1346700	1351040	一週間後ぐらいにはなんかもう付き合ってたよね
1351040	1362300	だからもうそのことはもうずっと心の傷に残ってたけど
1368300	1370660	今回それですごく傷ついたけど
1370660	1371500	でも
1376700	1386620	もうそれ全部気づいてたけど
1386620	1396040	でも僕が昨日佐野ちゃんに優しくされたからって
1396040	1398220	別に
1398220	1403200	もう2回付き合うとか言ってうまくいかなかったんだから
1403200	1405980	もう付き合うことはできないと思ってるし
1406700	1427520	だから僕だけが加害者みたいに言われてるけど
1427520	1428700	僕も
1428700	1428720	僕も
1428720	1436620	そういうことがあって
1436620	1436680	僕もそういうことがあって
1436680	1436700	僕もそういうことがあって
1436700	1440960	なんか
1440960	1444620	なんかずっと後に残っちゃって
1444620	1460400	なんかずっと後に残っちゃってそういうのが
1460400	1463700	僕も忘れたいんだよ本当に
1465700	1466100	もう
1466100	1466500	忘れたいんだよ本当に
1466500	1467300	忘れるんだよ
1467300	1487760	でもさ僕は佐野ちゃんと付き合ったとしても
1487760	1491800	彼女は忙しいから会えないし
1491800	1495120	せっかくデートの予定が決まっても
1495120	1496480	すっぽかされたりするし
1496500	1497440	せっかくデートの予定が決まっても
1497440	1524140	того出てるけど
1524140	1524620	adiansさんは
1524620	1525660	4年を
1525660	1525860	せっかくデートの予定が決まっても
1525860	1526220	모 properties
1526220	1532860	僕は悪いでいいよ
