start	end	text
0	8000	今日はね、渋谷は行かない。特にコスプレすることもないし。
12000	15000	日本のまですごい暴れてた。
17000	21000	コスプレない、コスプレグッズ持ってない。
21000	25000	もう、あんなことするなよ。もう、しない。
25000	28000	おつこめ、ありがとう。
33000	38000	僕、昨日バンサーれちゃったから、もうオススメ乗ってないだろうな。
38000	40000	オススメ。
40000	44000	あ、オススメ乗ってた。やった。
45000	48000	あ、オススメ乗ってた。やった。
52000	54000	よろしくな。
55000	60000	僕はハロウィンなんて、上着いたイベントなんか行きません。
60000	64000	あんな人がねちこちになっていっぱいいて、
65000	72000	それで、仮装した外人がひゃほいひゃほいって日本人をバカにしながら、
73000	79000	日本人をバカにしながら寝り歩く、そういうところに行きません。
79000	81000	髪乾いた。
83000	85000	よくありがとう。
86000	91000	ペックスって何?3枚行かなくてもペックスでおろせるよって。
93000	98000	まあ、別に僕はお金のためにやってるわけじゃないからいいんだけどね。
103000	106000	風船参考ありがとう。
112000	114000	風船ありがとう。
118000	122000	ペックスと楽天銀行の講座で即日。
123000	127000	そういうのあるの?ちょっと調べてみていい?
132000	134000	交換すると、
139000	141000	ペックス、
142000	144000	ペックス、
145000	149000	銀行振り込み郵便振り替え。
150000	154000	ペックスあと10ポイントだから無理じゃん。
155000	157000	ペックス無理じゃん。
158000	160000	ペックス無理じゃん。
172000	175000	ふわっちゃ人法に合わないよ。
178000	180000	人法は元気です。
181000	184000	何があっても人法は元気です。
188000	191000	ペックスって何?
197000	199000	おはよう。
200000	202000	もっとポイント言ってる?
203000	205000	ポイントなんて言ってないよ。
208000	211000	何しつこいから連投しないで。
217000	219000	かわいいありがとう。
228000	230000	かわいいありがとう。こんにちは。
231000	232000	僕は、
233000	234000	人法と言って、
235000	238000	ニコ生で配信しているものです。
240000	243000	みんなと仲良くなりたいです。
244000	246000	みんなと仲良くなって、
247000	250000	楽しいこととか嬉しいことを共有したいです。
251000	254000	それだけが僕の望みです。
256000	258000	何やってもうまくいかないの。
259000	261000	そんなことないよ。
262000	265000	なぜかね、ふわっちくると元気がなくなっちゃう。
269000	272000	なぜかふわっちくると元気がなくなっちゃう。
273000	275000	あ、そうだ。
276000	277000	笑ったら、
278000	280000	心まで笑えるかなと思って。
288000	289000	あ、そうだ。
289000	290000	あれ見ないと。
291000	293000	アニメ見ないといけないんだった。
296000	297000	あ、そう、
298000	299000	あれ見ないと。
300000	302000	アニメ見ないといけないんだった。
303000	305000	お腹空いてきたな
307000	309000	お腹空いてきた
311000	313000	にんちゃん少し顔が良くなってよかったよ
313000	315000	昨日は悲しくて泣いちゃったよ
333000	335000	お腹空いてきた
351000	353000	出前感は頼まない
353000	355000	今日はもうこのまま寝る
357000	359000	元気が出るまで頑張る
363000	365000	不安な顔だよ
367000	369000	それより噛み切ったよ
371000	373000	どう?かっこいい?
377000	379000	噛み切ったよ
393000	395000	お腹空いてきた
399000	401000	僕さ
409000	411000	マイク買わなきゃな
417000	419000	マイクぶったたきまくってたら壊しちゃった
423000	425000	マイクぶったたきまくってたら壊しちゃった
433000	435000	ソニーのマイクぶったたいたら壊れちゃった
435000	437000	もう音が大きく出なくなっちゃった
441000	443000	6年くらい使ったかな
443000	445000	6、7年
445000	447000	6、7年使ったから
447000	449000	もう買いときなのかな
451000	453000	僕は怒りに任せて
453000	455000	マイクをどんどん叩いちゃったから
455000	457000	壊れちゃったよ
477000	479000	パソコンあるけど
479000	481000	マイクがない
481000	483000	マイクが壊れた
487000	489000	音量上げられない
491000	493000	マイクが壊れたから
497000	499000	マイクじゃなくて
499000	501000	パソコンが壊れたのかな
503000	505000	これ今さ聞こえてる?みんな
505000	507000	今さ聞こえてる?みんな
535000	537000	マイクがない
537000	539000	マイクがない
539000	541000	マイクがない
541000	543000	マイクがない
543000	545000	マイクがない
545000	547000	マイクがない
547000	549000	マイクがない
549000	551000	マイクがない
551000	553000	マイクがない
553000	555000	マイクがない
555000	557000	マイクがない
557000	559000	マイクがない
559000	561000	マイクがない
561000	563000	マイクがない
563000	565000	マイクがない
565000	567000	マイクがない
567000	569000	マイクがない
569000	571000	マイクがない
571000	573000	マイクがない
573000	575000	マイクがない
575000	577000	マイクがない
577000	579000	マイクがない
579000	581000	マイクがない
583000	585000	マイクがない
585000	587000	マイクがない
587000	589000	マイクがない
589000	591000	マイクがない
591000	593000	マイクがない
593000	595000	マイクがない
595000	597000	マイクがない
597000	599000	マイクがない
599000	601000	マイクがない
601000	603000	マイクがない
603000	605000	マイクがない
605000	607000	マイクがない
607000	609000	マイクがない
609000	611000	マイクがない
611000	613000	マイクがない
613000	615000	マイクがない
615000	617000	マイクがない
617000	619000	マイクがない
619000	623000	マイクを買わないと
623000	627000	Amazonでマイクを買おう
627000	631000	それともこれパソコンが壊れてる疑いもあるわんちゃん
631000	635000	パソコンが壊れてる疑いもある
635000	639000	マイクじゃなくてパソコンが壊れてるんじゃないの
