ああ結局ねああ聞こえてるかな 結局今日もね就労支援まあ在宅と
になりましたなんかさ 気力が出ないんだよね
モチベーションっていうの なんか気力とモチベーションが出なくて
まあ在宅訓練も3月いっぱいまで っていうことで今日が最後だから
さあ今日はさあまあ在宅でのんびり して訓練してそれでまあ下は通称
感じにしようかなと思ってるんだけど 結局さあまあ昨日応募してた会社
から意見就労支援はね10時から 10時からリモートでやるという
読み上げ機能やめるか就労支援 は10時から在宅であれまでさよなら
だけが人生だならばまた来る春は なんだろうならばまた来る春は
と言うかね今さあツイッターの 収益課の依頼出したんだけど仕事は
してないですよ今探してる途中です やだでどうせ30分しかやんないし
さあこれから短い時間でやるとき は犯人短い時間でやるときはさ
キャスにしようかなと思ってまあ キャスもねちょっと待ってなんで
読み上げが付いてんの読み上げが 頑張れ忍法あるいは読み上げ来た
のになんで読み上げが出るんだ ああ丸いメガネよりそちらのメガネ
がいいですそうかな丸メガネもまあ 気に入ってるんだけどねなんかすごい
さあ俺今さあ病んでる確実にこれで 9社連続落ちたっていうことにも
なって9社連続落ちたでしょまああと 1社落ちれば10社連続落ちると
でしょ大手がかかってるんだよ2桁 まで2桁連続落選まで大手がかか
まあそういうことで病んでるけど 配信業はねやらないというかできない
配信業はできませんちゃんと僕 働きたいんでまあそんなもん
なのかないや俺でね実は就職氷河期 世代ロストジェネレーションとか
言われてるけどロストジェネ世代 なんだよ俺が高校卒業したのが
高校卒業したのが1998年でしょで 専門とか単大卒業するなら2000年
でしょ大学卒業するなら2002年でしょ もろ就職氷河期世代なんだよ9社も
10社も変わらんだいやなんかさなん とか1桁台で決めたかっていうのも
決めたいっていうのもあるんだよ 10社落ちたら20社落ちて30社落ちて
40社落ちるじゃ可能性があるじゃん 配信業向きいや3桁はさすがにね
無理だと思うだってさ就労支援 あとさ就労支援あと1年しかいけない
んだよ就労支援あと1年4月1日から だから明日でちょうど1年と残る
1年ってことだ今日で残る1年結局 さあ就職も決まんない
しさ就職も決まんないし彼女も できないし悲しいわいやアドバイス
聞いてるよ一応アドバイスは聞い てます日記か別に日記つけたって
しょうがないでしょどうせいさ書いた って読み返さないんだからそれより
過去を振り返るより未来のことで 俺ねあれ仲直りできたのなんかよく
わかんないけどさ仲直りできた のかなでもマリナンがさ木曜日
なんか男と温泉旅行行くとかいう 情報が回ったんだけど温泉旅行行く
らしいよ木曜日明日じゃん水曜日 で木曜日で男と温泉旅行行くらしい
んだよねそういう情報が回ったんだ けどなんかさもう俺いちいちしたく
ないんだよね疲れるしがんばれ ありがとうなんか嫉妬するのは嫌なんだ
よねもう今相手はどこにいて何を して誰といてとかさそれで悶々
本当ね嫌なんだよねおはよう その場にいないマリナンに告白
するなんかもう嫉妬したくない そういうのねもう疲れる本当本当
疲れるたださただ普通に彼女が できてその彼女と楽しく過ごして
それでさ何の心配もなくさ安心 してさ一緒にいられるというそう
いうのが理想だね合コン企画はね 出るよ合コン企画は出る就職もどう
なんだろう全然うまくいかない し楽しいことばかりじゃないいや
なんかね俺ね俺が10代とか20代 だったらそういうさジェットコースター
みたいなさ恋愛もいいかもで思う けどこの歳になるとなんかねもう
落ち着きたいんだよねというか 俺はジェットコースターみたいな
恋愛すらしたことがないけどジェット コースターみたいな恋愛をすること
なく星だけ重ねて心はまだ少年 って感じだけどおはよう黒猫さん
就職してまずは落ち着け無職だけど コインありがとう付き合う前から一
つすんのはどうかと思うでもさ マリニャン好きになってまださ
地曜日でしょ下川水いやまだ三日しか 建てないんだよね好きになってまだ
三日しか建てないんだよねそう思う としかもさいや就労支援も手に
つかないんだろうまあぶっちゃけ そうだねとりあえず昨日さ意見
お祈り通知もらってそれであぁやっぱり 俺受からないんだと思って絶望的
就労支援スタッフの人がただマチング が合わなかっただけですみたいに
慰めてくれたけど俺はすごくすごく がっかりしてるものすごくがっかり
してる書類選考もう受からないんだ なんかさやむよねとされると結局
さ縁がなかっただけとか言うけど 縁がなかっただけとか言うけど
さ普通にやむんだけどとされると 落ち込むよいや作業場はとりあえず
俺就労支援満機まで通ってなんとか 就職目指す野良さんこんにちは
なんとか満機まで通って就職は 目指すけどなんかモチベーション
が落ちてるっていうのはね自律 だよ今俺喋り方がさなんかすごい
ぼそぼそ喋るじゃん喋り方がねもう ねダメなんだよねなんかはっきはっき
喋れないんだよこれがさこれが精い ばいなぜ落とされたかととりあえず
書類選考だったしあこいつ41歳か まあこの時点であれだなで経歴
はってみてえ職歴3ヶ月それで落と されるよねえっとね職歴3ヶ月で
4月1日いや恋愛のことばかりなんか ねえなんで俺今就職に集中しなきゃ
いけないのにさ恋愛のことばっか 考えてんだろってさなんなんだろ
これ平行してるよ一応就職活動も 就職活動も彼女作りもリスナー
を彼女にすればいいやっぱさ女性 生主を彼女にするでさハードル
高いのかなこれで結婚とかなだろ さハードル高いのかなだってさリスナー
ってさ顔がわかんないじゃんそんに つつりかもしれないじゃんつつり
とか捨てハゲさんはユーチューバー でしょでも捨てハゲさんはなんか
結婚したんだよねそれで子供まで できるんだよね愛沢美美さんだ
まあユーチューバーで成功してる からね勝ち組みだよなんかねもう
普通にね普通に俺も幸せになり た結婚して嫌だもん無職で独身
独身で無職とか嫌だもんまず就職 して彼女もつくで結婚する子供つく
でそしたらもういいよまあ子供 できんのくれんのかな俺いろんな
意味ででもさ無職でもさ彼女 できてる人いっぱいいるじゃん伊藤
さんとか伊藤さんは無職なのに なんだんな彼女が絶えないんだ
ディブだからでもそっちの方が さ本物本物の恋愛って感じがする
無職だけど好きあってくれるって 言うんだよそれって本当にさ好き
じゃないとさ好きあってくんない よねあこの男無職だけど好きだ
と思われてそれこそ本当の愛で 言う気がするね無職でも好きになって
くれるまあ僕は今就職活動してる けどまだハイパー魔法が好きで
女だああなんなんだろうねいや 俺ね無職の俺でも好きになって
くれたらその人をね俺ほんと 大切にするよ一生かけて大切に
マニニャンも離れちゃった一応 仲直りさ一応仲直りはしたような
気がするんだけどあれどうなんだろう 最後好きだよって言ったら何も
言わずに電話切られちゃったけど 重いよなまあどうなんだろうね
結局俺は許されたのくさい許された のかな40代でもずっと22歳からずー
ど引きこもって誰とも世でなく 生きてきたから精神が成長して
ないんだよマニニャンのツイッター 見たよなんか通列になんか僕の
ことを避難してたDTですよまで マニニャンツイッター見よマニニャン
ツイッターこのさ楽しみな予定できた ぞっていうのがちょっと気になる
んだけど堂々と精神年齢低いって 言ってるけど恥ずかしいこととは
思わないでしょうがないじゃん実際 そうなんだ恥ずかしいもんなにも
22歳で引きこむから精神は成長 してないとなんかやっぱり精神年齢
で経験を積んで成長するもんでしょ 人と関わったり仕事して仕事上の
色々困難とか乗り越えたりそうやって 人って成長するんだけど俺はそれがない
からね映画5000本でさただぼーっと 見てただけだから精神ってさ勝手に
