なんかねぇ ちょっとおかしいわ俺
おかしい なんかねぇ
短期間にこの短期間に なんかね
物欲が抑えられないの 物欲が
短期間に腕時計3つ買ってしまった 腕時計
腕時計なんて一つあればいいじゃん 腕時計3つ買っちゃったんだよ
お金ないのに だってさ一人暮らしが
明らかに 赤字なんだよ
一人暮らしが なんかさほんとさ
自分のさやるせなさとかさ 満たされない気持ちとかが
なんかさ買い物に行っちゃってるの 今
やるせなさとか
自分の買える範囲のもの 買える範囲のもので
ポチ ポチ ポチってさ
これ良くない傾向だよ なんか頭おかしくなってるよ
これ精神科の先生に相談しなきゃ ダメだわ
なんか眼鏡も買っちゃうし 腕時計も買っちゃうし
腕時計も買っちゃうし 手助けも買っちゃうし
腕時計3個買ったのにまだ欲しい 腕時計があるんだよ
まだ欲しいメガネがあるんだよ どうしちゃったんだろう
もう節約しなきゃいけないのに さ
自分が怖い どうすればいいの
俺は何に満たされてないんだろ なんか満たされてないんだよ
何をやっても満たされてないんだよ 何だろう
ちょっとね 俺近いうちに実家帰ってポコジロー
に会うわ ポコジローをこうやって抱き上げて
ポコジローをやるわ
ちょっとねー 愛情が足りないんだよ
愛情が足りない だ
なんか愛が足りないんだよ スキンシップが足りないんだよ
なんかさぁ 最近
人って何?
ていうかねスキンシップしてない ポコちゃんポコちゃんポコジロウ
チュッチュッチュッチュッチュッ チュッチュッチュッチュッチュッ
ってねやんないと思うね耐えられないん だよ
ポコジロウに会いたいよ ポコジロウキューって抱きしめて
さ だからさこんなさ無駄にさ時計
を3つ買っちゃったりするんだよ 俺がさ
疾病と発達障害で adhdと
自閉スペクトラム症で患ってそれで 一人でずっと一人でいるんだよ
誰とも会わずにずっと部屋に閉じ 籠もって
悶々と考えてるんだよ孤独に耐 えて
それ頭もおかしくなるよ 誰とも会ってないよ
頭おかしくなるよこんな生活して たら
それはさ寂しくてさ 無駄な買い物しちゃうよ
ほんと頭がおかしくなってる 本当に頭がおかしくなってるんだよ
この状態がほんと良くない なんか似たような腕時計3つ買っちゃう
しさ 放送してもギフトも問わないし
ななはらいくわもばっか書かれて コミュニケーションも取れない
し どうしたらいいのもう
昨日も風呂入れなかったよ なんか最近風呂入れなかったよ
風呂入れないの 風呂
風呂入れないんだよだるくて ごご飯もね食べらんないんだよ
ご飯もねこれオートミールばっか 食ってるよ
オートミール オートミールにあのプロテイン
ぶっかけてそれを食ってるんだよ オートミール
それしか食べてないんだよ オートミールしか食ってないんだよ
痩せようと思って ごご飯とかパンとか食べると太る
から オートミールばっか食ってんだよ
もうコーンフレークは食べてない オートミールだけ食べてるよ今は
唐揚げも食べてないよ 唐揚げもパンもご飯も食べてない
よ コーンフレークも食べてないで
オートミールだけ食べてるよ オートミールとあのプロテインバー
ばっか食べてるよ それでも痩せないんだよ
それでも全然痩せなくて 痩せないよ
もうどうしたらいいの 孤独だし
もう辛いよ だから僕はね
もうどうしようもない なんかもう発泡塞がいいだよ
だからもうやけ起こしてる今 もうずっと雨降ってるしさ外にも出らん
ないしさ 雨降ってるからさ美容室も行っても
来てないしさ もうやけだよ
どうしたらいいんだろうもう どうしたらいいと思う
夢も希望もないわこんなの 休止はするよ
これは別に休止だよ なんかもうどうしたらいいのか
わかんないわ もう寂しくて寂しくてしょうがない
だからね まあまあ車運転してるからね
車運転して ちょっとね気晴らしに僕は車運転
して 僕はね20年ぶりに24年ぶりにガチ
で車運転して 4人の命を預かってキャンプ場まで
行ってもしかしたら事故でみんな 死ぬかもしれないよ
4人乗っけて みんな巻き添えでまあどっかに電柱
の中にぶつかってみんな車が大 破してみんな死ぬかもしんない
よ まあそりゃ最悪の事態は避ける
けど 避けるよ
避けるよ 僕だってさ
24年ぶりにガチで運転するし 練習もするから
最悪の事態は避けるけど でも別にさ薬飲んで運転するし
運転してる人なんてたくさんいる から
それだったらアメリカはどうなんだ アメリカ人は50%が精神科に通って
薬飲んでんだよ でもアメリカ人はほぼ90%以上は
車乗ってんだよ 車社会だから
それはどうなんだよ 精神科通ってる人は車乗れない
って言ったアメリカ人はどうなるん だよ
精神科通いながら物流の仕事してる 人だっていっぱいいるんだよ
みんな頑張ってんだよその日を その日を
仕事して 精神科限界に来てるんだよ僕は
やるせない気持ちなんだよ これどうしたらいいと思う
カウンセリングまた通うべきかな カウンセリング高いからさ
ずっと通ってないけど 散財してしまうこと精神科をちょっと
沈んだらもうなんかすぐさアマゾン とかでポチっちゃうってところ
と またカウンセリング通ったらさ
お金が飛ぶんだよな ほんと高いんだよカウンセリング
ニコ生やってもさなんかみんな さ真剣に考えてくんないしさ
茶化すコメントとヘイト向ける コメントと七原行くコメントしかないじゃん
ギフトも来ないし 別にギフトはさ別にいいんだけど
でもギフト ギフトがないとやっていけないんだよ
ほんと頼むよ つらいよ
ほんとつらい いやもうほんとねなんかね時計3つ
買っちゃって安かったけどさ この時計なんてさ
7000円だったよあのアマゾンの アマゾンじゃない楽天のスーパー
セールでほんとだったらさこれ なんてさ1万5000円ぐらいする時計
なんだけどこれね バンド買えたけど1万5000円ぐらい
するんだけどあの楽天のスーパー スーパーセールで7000円で買え
たんだよこの時計 7000円で買えたんだよ
だからなにこれ安いって思って さ7000円だったから買っちゃったん
だよな でもよく考えたらさ時計7000円で買えたんだよな
でもよく考えたらさ時計7000円 で買えたんだよな
7000円とはいえ 時計そんなたくさんいらないなと思ってさ
なんかつらいよ これからどうすればいいんだろうなんか不安で不安で仕方がない
余計なもの買っちゃうし なんかもうつっつらくてつらくて仕方がない
貯金もどんどん減ってくし いやもうダメだ
ダメだ ダメだ
もうダメだ俺 なんか支えがないともうダメだよ
支えがないとダメだ ミニマリストになりたいよ
ゴミがさ どんどん増えてってさ
ひっちゃかめっちゃかだよ 僕さほんとさ支えが欲しい今
支えが 支えが欲しい
なんかね 僕はさ間違った道に行こうとして
ると そこじゃないよこっちだよってさ
言ってくれる存在が欲しい 僕朝無駄遣いしようとしたらダメ
そんなものを今は今はもっとね 生活費にお金使わなきゃダメよ
って言ってくれる存在が欲しい そんな無駄遣いしてる時じゃない
でしょって 今生活が安定させなきゃダメでしょ
って なんかほんとほんとねもうねダメ
なんだよ ほんと赤字なんだよ今
ギフトください 助けてください
ほんと助けてください いやもうもう時計もメガネも買わない
から 時計もメガネも買わないです
メガネもさまた欲しいのあるんだけど 腕時計もまた欲しいのあるんだけど
買わないから 買わんから
ほんと生活費に使うよ なんかまたさメガネも欲しいし時計
も欲しいしさ いろいろやりたいこともあるんだ
よね なんで生きてるだけでこんなお金
ってかかるんだろう これそれもこれもさ円安が悪いん
だよ 知ってる
今ね1ドル132円だよ ちょっと前までは1ドル70円だったん
だよ
もう自民党ふざけんなよな 1ドル70円で買えたのが今1ドル
を132円出さないと買えなくなっちゃ ったんだよ
自民党がそうしたせいで ちょっと前さ70円出せば1ドル
買えたんだよ
マクドナルドのハンバーガーが 65円で買えたのに今150円ぐらい
するんだよ 65円で買えたんだよハンバーガー
10数年前はハンバーガーが1個65円で買えたんだよ
それが今いくらだよ
170円ぐらいするよ
150円、170円ぐらいするよね
200円ぐらいするよね
いつの間にか高級食品になっちゃったよハンバーガーが
牛丼だってそうだよ
牛丼なんて昔さ、牛丼並盛250円ぐらいで買えたよね
それが今は400円ぐらいするんだよ
どうしてくれんだよ
貧乏人に死ねって言うのかよ
みんな泣いてるよ庶民は
こんなに円安にしてさ、日本の価値を下げてさ
それで給料が上がるならいいよ
給料が上がるなら
でも給料下がってんだよ
だからどんどん日本ってね今ね
主要8カ国で一番貧乏になっちゃったんだよ
日本はねもはやね
