よ じゃあんたたち行くわよ kp
いやただただの散歩というか だからただの散歩だよ
収穫ない外配信あったじゃん 収穫あったじゃん
いやそんなね外配信やって毎回 撮れたかなんかないからね
外配信毎回やって そんな紙買いなんてないからね
一応お店で許可取れただけでも すごいじゃん
まあ確かにハズレ企画だったよ アイテムも飛ばないし閲覧も伸びないし
だから外配信行きたくないんだよ 天ざる食いに行っただけ
まあそうだよ 天ざる食いに行ってきただけで
でもねなんか品の街ってなんかね 怖いイメージあったけど
全然普通の健全な街だね なんか黒服がうろうろしてるとかもないし
警察官とか警備員とかうろうろ してるとかないし
警備員は各施設に一人立ってたけど なんかもっと怖い場所だと思ってた
でも普通の健全の街なんか住む にはいい良さそう
配信1回目の店は断られたけど 何回か回ってやっと許可取れて
配信してなんか店の店内移さないでくださいって言われたから
僕の顔アップで映すしかなかったんだよ 僕のアップの顔
店の中は撮らないでください あくまで顔だけにしてくださいって言われたから
僕あんな近距離で自分の顔アップにしてやってたんで
本当は料理だって紹介したかったけど 探訪してきたよ
ラジオでいいだろう だってさ店がさバレたらまたさ
イタデンとか来そうだったから 許可取ったのにイタデンするやつがいるし
だって許可取ってたでしょ僕
なんかお店の人と話してたでしょ
何でやってるんですか 名前は何でやってるんですかとか聞かれたじゃん
ちゃんと許可取りはしたんだよ
何件も断られたけど 最後の1件でOKもらった
僕が妊婦でやってるってことは もう店の人は知ってるよ
妊婦でやってますって言ったから
そういうときってどういう許可 の取り方が正解なんだろうね
僕有名人っていうことにしよう か今度から
僕インターネットで有名人で加藤純一 とかこれこれさんとかに並ぶ配信者
なんですけど
よかったら今日ここで自分だけ撮影 してご飯食べるだけなんで
配信許可をよろしいでしょうか って加藤純一とこれこれを肩に並べる存在だとアピールしてます
フィールして飯もうまかったよ 蕎麦と天蕎麦だから今頃お店の
人はなんか俺をググって調べてる と思うよ多分調べてると思うよ
なんかさ俺がツイッターにアップ した写真がなんか老けてるとか
言われたんだけど俺って老けてる もしかしてこの写真をアップしたら
なんか老けてるとか言われたん だけどなんか老けてるって言わ
れたんだけどこれ老けてるこれ なんかピントが合わないなピント
が合った老けてる老けてるこれ なんか自分でもなんかちょっと
ほうれい線が気になるなと思い 始めたけど老けてんのかななんか
今までイニンポは若い若いっていう イメージがあって
だったけどなんかここ1年半で 激アツしたおかげでなんかしぼん
ちゃったんだよね1年半の写真が 俺めちゃくちゃ若々しいんだよ
これこれ1年半前これ1年半前めっちゃ 若々しいでしょこれがちょうど
