だれ民放です 中盤を狙う
ポッキーサラダ味 サラダ味がなんだかんだうまい
ぺけミニさんはよ よかったら
ゴールドアイテムをくれたら嬉しい あ金のハートありがとう
6名ちゃん 会社勤めするよ
あ金くまさんにこうありがとうさあさん じゃあキーさんか
あ金のバラさんこうありがとうキーさん 朝からお菓子
これで今日はご飯食べないで済む どんどん痩せていってるよ
あ金のふうさんありがとう おはよう
ちょけんさんいらっしゃい ちゃんとしたご飯が食べられない
金梅さんいらっしゃい あ金くまさんありがとう
6名さん ゴールドアイテムいっぱい食えたら嬉しい
にんちゃん天才
おはよう
美味しかった 次は何も食べない
なんかお菓子ばか食べちゃう お菓子買ったから
スマホはコロコロしないよ あ
毎日昨日から内定のわかりありがとう 6名さん
ローマ字の人ありがとねー なんかさ
スナック菓子食べるとなんか 矯正器具に挟まってさ
なかなか取れないんだよね ホワイトニングってリスクあるんだよ
歯がもろくなるんだよ なんかやらないほうがいいと思うよ
歯がもろくなるリスクを背負って までやるもんじゃないよ
あ今ゴールデンウィーク中だね ゴールデンウィーク何したみんな
てか何してる なんかしたかする予定があるか
ドライブ ドライブいいね
車あったらいろいろ行けるよ 車ない
投げられるようになったら買える かもしれないけど
まあ投げられないからねアイテム とか
それで車持つのはちょっと無理 だね
軽自動車でいいんだけどね 何かある
アイテム来ないな アイテム来ないな
ちょっと鳩が 鳩に来られちゃたまらんからな
あー なんか今日寒くない
寒くないなんか 寒い
